,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.10481241992846785, 0.25315765911125143)","(0.037581434452562706, 0.13780758249491357)","(0.11672289947913159, 0.24386446810687198)","(0.2826035122567212, 0.38955759372961907)","(0.15548079216547872, 0.27841163827498194)"
Bulk 1,"(0.26924773461476137, 0.4143832045952752)","(0.1002773096280241, 0.21226885912252397)","(0.0, 0.020217369531888532)","(0.25488799593309197, 0.361499852771211)","(0.11560764704028473, 0.2535185312636965)"
Bulk 2,"(0.006387478804069785, 0.11113953291076112)","(0.12668088935925834, 0.2530650873539363)","(0.11486622638319913, 0.2268076276534767)","(0.28564387005580055, 0.39435986369141424)","(0.164094206951715, 0.3169552168363691)"
Bulk 3,"(0.03399919348895135, 0.17184815457066782)","(0.18739544904513572, 0.32196404835940107)","(0.06910268604757919, 0.17468815921068523)","(0.2593705608217257, 0.37235567128267766)","(0.12894014965485479, 0.2803359275183214)"
Bulk 4,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 5,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 6,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 7,"(0.24702214175609954, 0.3976155016935839)","(0.061471791858071674, 0.1737064221426518)","(0.03151466210894789, 0.09458315483885961)","(0.26103410682107575, 0.3702449496450876)","(0.11816794873788634, 0.24463932039773612)"
Bulk 8,"(0.07663215573485842, 0.22441776069942626)","(0.12202834275675166, 0.2493535052048106)","(0.02638275415404004, 0.09555680727052454)","(0.33015179069511535, 0.43333343733681273)","(0.14871720702115426, 0.2934262391265062)"
Bulk 9,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 10,"(0.10669109557917986, 0.24922432341182985)","(0.04392459453508182, 0.14490959234744916)","(0.043754776734900025, 0.12392050168038274)","(0.3859241716060691, 0.480051727356228)","(0.14748926876175988, 0.27410994798711974)"
Bulk 11,"(0.20306902422070428, 0.3433270109362181)","(0.02185178800030798, 0.10394620740770125)","(0.08360400302805054, 0.19737189110644116)","(0.3314102203479331, 0.43184783555184925)","(0.09176332923694967, 0.19180869016384444)"
Bulk 12,"(0.0594266369824607, 0.21109097045393904)","(0.11506810255146585, 0.24514198020259445)","(0.06720789222172045, 0.16671654914173628)","(0.31321232871725546, 0.41922711228366016)","(0.1309202035819374, 0.27198822386322996)"
Bulk 13,"(0.16316938626197222, 0.31304485077991184)","(0.04592327865515323, 0.15046442554489223)","(0.12156497610363315, 0.25288235705354156)","(0.2996002534792069, 0.4033628618706489)","(0.08185117149679015, 0.16813643875424972)"
Bulk 14,"(0.344648197163839, 0.48363487164020347)","(0.08793325388839893, 0.209348582348136)","(0.13833955025443573, 0.289778119979742)","(0.07155711559049571, 0.187862070893693)","(0.052652624971503414, 0.13424561326955278)"
Bulk 15,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 16,"(0.06103036653057571, 0.22501132502257454)","(0.12144310563417636, 0.25770572520843815)","(0.06598646538888175, 0.17068864376043422)","(0.21528409374562188, 0.32874227141300033)","(0.21021984198961233, 0.34388816130668476)"
Bulk 17,"(0.07685328229757905, 0.23253594017641727)","(0.07738205852601013, 0.20652513693986582)","(0.24590465429846714, 0.3890663906251472)","(0.19962433845371447, 0.3166793096240323)","(0.07589643852928132, 0.17953245052948527)"
Bulk 18,"(0.2617172476253254, 0.4168671769507147)","(0.14786193545207496, 0.2720225267730607)","(0.06581010312598132, 0.15094449362103834)","(0.013225158232862695, 0.07661522920607847)","(0.23505056120322423, 0.3598855678096391)"
Bulk 19,"(0.3230379416692342, 0.453848998488433)","(0.04813505598058015, 0.1448050154413173)","(0.19683155423796184, 0.3471742499915551)","(0.17490567926627182, 0.28401516833809004)","(0.009264205415333182, 0.01798213117122347)"
Bulk 20,"(0.07650376127928, 0.2309972076717935)","(0.1300887463527029, 0.263655817407956)","(0.11712588681593222, 0.2474802932681715)","(0.22346380588738549, 0.33830652788351745)","(0.12310759902651103, 0.24927035440674988)"
Bulk 21,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 22,"(0.0, 0.0005910795993378918)","(0.10766987366814645, 0.19588749363274305)","(0.0279112450137484, 0.11863864485455453)","(0.5105991140289596, 0.6106054472021198)","(0.14781065433835572, 0.28087752726137255)"
Bulk 23,"(0.023815020132088346, 0.13980617954162544)","(0.16449724358439638, 0.29375640521062546)","(0.020717793930821134, 0.08645128402272934)","(0.3444907966318517, 0.4528839060998175)","(0.1594253777306102, 0.3141559931154344)"
Bulk 24,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 25,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 26,"(0.08697079713677289, 0.222508054061368)","(0.05934764541282915, 0.16497253379301402)","(0.07943398036817054, 0.18520360255616794)","(0.42502729818278945, 0.5117208294803841)","(0.08032648815535379, 0.18448877085315038)"
Bulk 27,"(0.17531906607917108, 0.34187804506065705)","(0.1406741082878222, 0.27380064709669727)","(0.008594345842193589, 0.05993984847977198)","(0.2021954348683626, 0.3152376504973166)","(0.1679768280248144, 0.314384025763193)"
Bulk 28,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 29,"(0.21203036211470433, 0.36163142485996086)","(0.050625298289159, 0.14781471222755843)","(0.055004068057313046, 0.14644244142520702)","(0.15910872081423277, 0.27694243949913566)","(0.2322887661042653, 0.3581117666084638)"
Bulk 30,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 31,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 32,"(0.015261110359713101, 0.1348621608463862)","(0.1890058080286778, 0.32587784837581835)","(0.027073926071770976, 0.10175771084180904)","(0.20176987399162638, 0.31009109188317063)","(0.2822432838385989, 0.4120571857624285)"
Bulk 33,"(0.03837812552751388, 0.1813173257801883)","(0.15889616200529283, 0.29454703396399506)","(0.028914821880270516, 0.10641762031523914)","(0.28083427291776847, 0.38897913612431717)","(0.18728345508262217, 0.3344320464027925)"
Bulk 34,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 35,"(0.04360570250184066, 0.18281970762290867)","(0.0794763940167208, 0.20124920832813742)","(0.21305746972588238, 0.34816963144293334)","(0.2638650679903406, 0.3739994525027095)","(0.08506903420275583, 0.20868833166577097)"
Bulk 36,"(0.1783521437605837, 0.34728758380804936)","(0.13925001076626345, 0.2748853129555263)","(0.028970075012030076, 0.09832987799379733)","(0.170578156605879, 0.28922877356435833)","(0.16596735930199813, 0.30715070623151425)"
Bulk 37,"(0.17793749380142676, 0.3459285252083819)","(0.13969768604471888, 0.27367764606233996)","(0.004559148250241181, 0.050430357027133624)","(0.20520795022468152, 0.31700604734251736)","(0.1685928410039214, 0.3169623050346373)"
Bulk 38,"(0.0890862419389941, 0.24348822897580807)","(0.04534041178870763, 0.1544703663484602)","(0.19645361111380835, 0.34272220390433894)","(0.15636432203413608, 0.2765075187536435)","(0.18750278887789082, 0.3080643062642124)"
Bulk 39,"(0.10392715231721102, 0.253096290816154)","(0.061333730242419476, 0.17143185294245966)","(0.033169805394345955, 0.10455189652246243)","(0.3404428911618178, 0.4402495600110746)","(0.17961165325108516, 0.31218516734097)"
Bulk 40,"(0.17705213032774808, 0.31755325574683096)","(0.08417858356606689, 0.19903167184367904)","(0.01181146947177689, 0.056919235727887)","(0.40248652524419487, 0.4915300072042223)","(0.07099300830521925, 0.18844411256237464)"
Bulk 41,"(0.2317891672680274, 0.37995708648613774)","(0.046933461314597816, 0.1545237838612598)","(0.236196386360564, 0.3902713983186418)","(0.11925423381458565, 0.23581205989251625)","(0.062430213968687434, 0.14283220871498215)"
Bulk 42,"(0.051924467402693894, 0.20020932852823436)","(0.11815209606761201, 0.24861382220247186)","(0.036009160988347694, 0.1132122922977464)","(0.27812117390761365, 0.384685706862342)","(0.21555068569807473, 0.3535212660448634)"
Bulk 43,"(0.1001906858876614, 0.2544245039880618)","(0.09549756205352547, 0.217369561409652)","(0.013324784840450622, 0.06765764396286812)","(0.24977506777651587, 0.3540718475662477)","(0.2591055934775395, 0.3885827490374776)"
Bulk 44,"(0.10310339924406813, 0.2561475893309319)","(0.10482495760282992, 0.22798889865561836)","(0.003169821377456538, 0.045393081508978694)","(0.3132534090520732, 0.414673714169548)","(0.19418963347718032, 0.33725549558131485)"
Bulk 45,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 46,"(0.4366164699908377, 0.5632873385639402)","(0.11641519474117214, 0.22237948751051118)","(0.0, 0.03244131370623848)","(0.02904042177446263, 0.11529247480828704)","(0.17498017244281752, 0.3097791819665614)"
Bulk 47,"(0.22241031571225217, 0.3637067359475363)","(0.06496010353864032, 0.1747817371208797)","(0.045712081965107496, 0.1270017334828481)","(0.34189811859534924, 0.43883352427165123)","(0.06907753852929761, 0.15161811083643795)"
Bulk 48,"(0.1631913015366886, 0.34285138842664564)","(0.10406333134630344, 0.24127502369748952)","(0.0495909767114098, 0.14492423386537198)","(0.19838006534480848, 0.31506892713463736)","(0.15352479705541733, 0.2871299548812276)"
Bulk 49,"(0.08970079917735192, 0.22430223735299254)","(0.054622569959292766, 0.15739232123074418)","(0.026130129441389635, 0.08954877124243586)","(0.42992648589620025, 0.5190481920793785)","(0.13901573585439506, 0.2703127577658194)"
Bulk 50,"(0.1540504325451425, 0.319988491825916)","(0.13648239285418085, 0.26949072034210436)","(0.0035896361006111516, 0.04827991056694644)","(0.24920269444389453, 0.3572103174467036)","(0.15611774301494052, 0.3055876608595601)"
Bulk 51,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 52,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 53,"(0.2642409544107907, 0.3951684745298279)","(0.045795839023061634, 0.1406455125623507)","(0.0035067380036532207, 0.034595715397592625)","(0.3588266402681536, 0.45703470658383616)","(0.09070462336155974, 0.20948079585917365)"
Bulk 54,"(0.12571168026035429, 0.26806245320068506)","(0.10031895988741046, 0.21633194715983006)","(0.00017400699751600815, 0.034421315425081214)","(0.383147520191303, 0.4779465291879981)","(0.1258020514615658, 0.2680835362282563)"
Bulk 55,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 56,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 57,"(0.42172594555447374, 0.5470175487643149)","(0.06651684111128575, 0.1652974747542797)","(0.022616816272167717, 0.07756519703000685)","(0.05316919284081399, 0.15902628505475008)","(0.1772150515510323, 0.30984964706687496)"
Bulk 58,"(0.32938391003830036, 0.4717553132576484)","(0.08431059196060486, 0.20295720680395501)","(0.09848525871237503, 0.2332824291556822)","(0.09106390578670076, 0.21283613146322822)","(0.08501855420869477, 0.1909066986128103)"
Bulk 59,"(0.1395098864785439, 0.3083358033957544)","(0.13298165164340062, 0.2696516489090536)","(0.023520408190621366, 0.0887759557946006)","(0.2638159112958084, 0.37159076150319026)","(0.1297752640007142, 0.27204270878831266)"
Bulk 60,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 61,"(0.14019277944339392, 0.2904080472670074)","(0.10728686732404569, 0.2164628836136721)","(0.0008465695838091249, 0.005366329544190921)","(0.30816638523244605, 0.4078670777700533)","(0.1905814406038746, 0.33282161961750645)"
Bulk 62,"(0.1448935221639563, 0.3041540059736439)","(0.20736424649928342, 0.33498744418604054)","(0.0007217828171097479, 0.0033452619911876966)","(0.17573043389409734, 0.28522208274096933)","(0.1967029336019907, 0.34687828613172084)"
Bulk 63,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 64,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 65,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 66,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 67,"(0.14592490525015148, 0.30063377256945234)","(0.07507832561196698, 0.18876749651142716)","(0.023779067948008284, 0.08520992022128608)","(0.2265899248734448, 0.3360622133071716)","(0.24485747961572565, 0.3730968940913658)"
Bulk 68,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 69,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 70,"(0.12341858696737341, 0.2784206275830839)","(0.14761344295713896, 0.281978478696263)","(0.04887073479428316, 0.13894102800498584)","(0.3239260891557383, 0.42336839213682376)","(0.06504181297814658, 0.16842080672616305)"
Bulk 71,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
