,Ast,End,Mic,Neu,Oli
Bulk 354,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 355,"(0.04994285418698971, 0.21295008297828846)","(0.2041427386560469, 0.34494686004903197)","(0.039123536363812696, 0.13580339572536795)","(0.13777733306027595, 0.2545339231417457)","(0.24372072511399726, 0.3770585507244435)"
Bulk 356,"(0.1309367722837128, 0.30658719107799276)","(0.14351880152245522, 0.28600126547708804)","(0.08305667434793362, 0.20528534022022482)","(0.16947305632138726, 0.2903974494787119)","(0.12877751784821834, 0.2559659314222752)"
Bulk 357,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 358,"(0.11303342000562973, 0.2872440678323548)","(0.12014115280355037, 0.25516580916651876)","(0.12401488297711064, 0.26200807297994866)","(0.075957267761498, 0.19359971233660664)","(0.22201297502324352, 0.3468226391135389)"
Bulk 359,"(0.15883494348268903, 0.3244657442476241)","(0.12049160923614519, 0.2502835213797835)","(0.053427129352764675, 0.14363856816993698)","(0.18242150454682682, 0.29960582429198845)","(0.16797943805409885, 0.2988517172381422)"
Bulk 360,"(0.18864756691294599, 0.36180938350978536)","(0.09733847868271191, 0.22757922464667446)","(0.06402956519620986, 0.17070450957047703)","(0.14466654772651347, 0.26898999632509457)","(0.17345638773055733, 0.30277833969903006)"
Bulk 361,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 362,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 363,"(0.05665407377841873, 0.21719097359962286)","(0.16099724741416116, 0.29899146025508194)","(0.044797934849823196, 0.13548584282055598)","(0.18577944380554123, 0.29813288962453965)","(0.23469823586875613, 0.36727189798349924)"
Bulk 364,"(0.03971188799597697, 0.15425494695277892)","(0.10353368346894362, 0.21869574821392992)","(0.00021996680751134104, 0.0350402635662925)","(0.3719935414799568, 0.4698119765078438)","(0.23502975688452438, 0.37170822812224175)"
Bulk 365,"(0.06163162950406427, 0.2029472674945974)","(0.06899141448474347, 0.1850749952530192)","(0.15065069916729637, 0.2816399662762422)","(0.28724925669826856, 0.39352848771758503)","(0.12081951336850867, 0.2474667700356748)"
Bulk 366,"(0.11774734849345615, 0.2551000835236688)","(0.025203411019574164, 0.11010134957128784)","(0.07969554447629032, 0.18709978131782998)","(0.3846841973108979, 0.47841097227368007)","(0.1222613461004103, 0.2396959659129047)"
Bulk 367,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 368,"(0.039014469972027316, 0.18018301080493768)","(0.23341586828324012, 0.3686084228026981)","(0.011944038115162734, 0.07443637836383403)","(0.1707753581899275, 0.2791158061817451)","(0.25138733429555415, 0.3911193129908732)"
Bulk 369,"(0.21712493177072595, 0.3720405574480726)","(0.05868924744885387, 0.16703466754347798)","(0.023499457936918298, 0.0808581708808935)","(0.21756551437507365, 0.3293903809365071)","(0.20104773697192596, 0.33274933468755113)"
Bulk 370,"(0.17673719177708186, 0.3504163942544289)","(0.15865842550133236, 0.29999454916283713)","(0.00805999169312692, 0.05943532299466339)","(0.18034762002990617, 0.2949250789327699)","(0.16171182477041468, 0.3097136008834387)"
Bulk 371,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 372,"(0.058793156393442764, 0.2167225894219235)","(0.15600006873353922, 0.29365790943367925)","(0.05910837752778409, 0.15831487821933693)","(0.2538867805787681, 0.36490096257933047)","(0.14792836889455163, 0.29068690821764387)"
Bulk 373,"(0.0859172619006478, 0.24112591290890478)","(0.11955489684553683, 0.24902307909922256)","(0.029069203267229594, 0.09956707549440877)","(0.2745775831171003, 0.38108721298039755)","(0.19045969788310507, 0.3296180765034465)"
Bulk 374,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 375,"(0.015329310976544733, 0.1196139687489234)","(0.2166469078560528, 0.35222346661610426)","(0.0007821624397898359, 0.05072837369308211)","(0.24461206143445033, 0.3553363196594931)","(0.25150061311135624, 0.3932268154642032)"
Bulk 376,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 377,"(0.26852389641185104, 0.41931942717593274)","(0.11121209402324962, 0.23633075138108245)","(0.01891807084217519, 0.07355103971509735)","(0.19948494089308266, 0.31397244439137917)","(0.11294979369819429, 0.2457375414679555)"
Bulk 378,"(0.1281011529701101, 0.28617792148560034)","(0.06837889033236966, 0.18272451671567091)","(0.045230149764932316, 0.12839456871902308)","(0.24698794613705077, 0.35581626593131466)","(0.21520581386980042, 0.342982774074128)"
Bulk 379,"(0.021914651640856986, 0.13956891132772303)","(0.10321409392011811, 0.22475844993350808)","(0.11205389025000967, 0.22888874702616457)","(0.30493625384540884, 0.41003773174246555)","(0.15649550129224732, 0.29813176902149763)"
