,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.0, 0.05253590842908574)","(0.21708886664706173, 0.34820424816607043)","(0.07026059034222831, 0.17133367776428812)","(0.21158453568708666, 0.3183738408490495)","(0.2325191063170247, 0.38220382404956466)"
Bulk 1,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 2,"(0.14214358919141654, 0.3067967827295549)","(0.1881247141606306, 0.31829252999656765)","(0.0, 0.007793244926391858)","(0.16229675239281666, 0.26967123984129526)","(0.23158661073288372, 0.3743749362733902)"
Bulk 3,"(0.03361799014413515, 0.1720157174272664)","(0.12081085547780909, 0.251055141759259)","(0.09981638049079934, 0.2167083783348433)","(0.24788203353453597, 0.3578572599471105)","(0.18169609246553778, 0.31854015041870354)"
Bulk 4,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 5,"(0.0, 0.046572312347895065)","(0.16797166859523446, 0.29274206875115183)","(0.06505828677355234, 0.151836844917222)","(0.3806237314965648, 0.4859121445460963)","(0.12013240915622103, 0.2944121817681207)"
Bulk 6,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 7,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 8,"(0.13460094222081176, 0.29272679666999624)","(0.11518110381661145, 0.24453158536237746)","(0.029288677148809686, 0.09978237795011365)","(0.33676193292555484, 0.43586783954987934)","(0.09132649173769315, 0.21993225261815263)"
Bulk 9,"(0.13972942388991, 0.31060265137197657)","(0.08129990559289953, 0.20444184249863356)","(0.09882045301982202, 0.22829979941373024)","(0.13078426168453822, 0.2530383236738412)","(0.21469127494466184, 0.33829206390998695)"
Bulk 10,"(0.09667369214900061, 0.23361982301724715)","(0.13236433502199135, 0.2461421321044801)","(0.0, 0.008670854094902552)","(0.3715013236650813, 0.46629692592165034)","(0.15013240937360878, 0.2948809630184104)"
Bulk 11,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
