,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.01142428135961153, 0.12121612759582777)","(0.13972054109165477, 0.2681892678421008)","(0.03855554145070826, 0.11846979614007482)","(0.358612970305435, 0.4717819941096862)","(0.15536401961491086, 0.3166654604899901)"
Bulk 1,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 2,"(0.1401963191650453, 0.30542061390296293)","(0.09173544988009713, 0.21960690190313875)","(0.07249604597712099, 0.18174197666508907)","(0.260104889215424, 0.3697037959191371)","(0.11927553047608289, 0.23971847689590178)"
Bulk 3,"(0.27921519809671874, 0.4210620679227642)","(0.11769313349890585, 0.2431485888244571)","(0.06965257885815135, 0.188774496244225)","(0.2370143359741047, 0.34652569604127914)","(0.033575996333316024, 0.06333790820607788)"
Bulk 4,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 5,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 6,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 7,"(0.41777543077701906, 0.5401123723680774)","(0.06594756102208676, 0.16883942675920818)","(0.012915470687911403, 0.057072850094799885)","(0.13039876224245325, 0.24437479802534198)","(0.117456825092926, 0.2451065029301761)"
Bulk 8,"(0.06992798686690613, 0.21873444586507665)","(0.08683924131283918, 0.20792377690857747)","(0.05754513951582096, 0.1487530687515296)","(0.36144158201452775, 0.46031617004932607)","(0.12709515100515156, 0.2614234377102447)"
Bulk 9,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 10,"(0.02780886253950951, 0.15661254018956644)","(0.125563881881386, 0.2529628833516036)","(0.09055854847535987, 0.19998376173768256)","(0.3290013316451403, 0.4360077182837186)","(0.11599061552235526, 0.26550985637367797)"
Bulk 11,"(0.15347087822855277, 0.32046312059336574)","(0.15364291511668082, 0.2887636052461363)","(0.007096042282868923, 0.05885344944067264)","(0.20092094515564224, 0.3127818073027088)","(0.1789402147445196, 0.32506702188885217)"
Bulk 12,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 13,"(0.0, 0.0008788551621580667)","(0.16335398524848319, 0.30852793387997135)","(0.00350170975861247, 0.11103631003018315)","(0.29283405986037475, 0.3883166326824931)","(0.2961858898474779, 0.43624347869240415)"
Bulk 14,"(0.39548740127633636, 0.5229141515108741)","(0.06206338964684118, 0.166288473653358)","(0.07101238435689967, 0.18163692333592912)","(0.08459861458083272, 0.20515448311233203)","(0.09891219023952756, 0.21193198828706927)"
Bulk 15,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 16,"(0.18923679954637573, 0.35661797099936854)","(0.11072266208245132, 0.24097010876763877)","(0.02930367711053522, 0.09969204157069456)","(0.19024040543611057, 0.3070419362024832)","(0.1689895916543032, 0.3071848066300392)"
Bulk 17,"(0.6073545799510707, 0.6996771707971581)","(0.07054190407147885, 0.1484521926020192)","(0.0042504924321684415, 0.02935155182397816)","(0.0035391289318462294, 0.031339106801210194)","(0.1502698468470769, 0.25522402574199327)"
Bulk 18,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 19,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 20,"(0.06845105802922624, 0.19538981986180798)","(0.028478382622300118, 0.11682856269531827)","(0.05061751307746751, 0.13715857133946643)","(0.44960014280434435, 0.5367449129093331)","(0.14474635290328836, 0.27198468375744783)"
Bulk 21,"(0.07143036383094142, 0.20371932798700476)","(0.15804948756758166, 0.2800275180986724)","(0.0, 0.018171735677674487)","(0.31910403250923514, 0.41913392565362695)","(0.19353684201117216, 0.33957819945754464)"
Bulk 22,"(0.06299880599733766, 0.1494883457694326)","(0.011079969809032638, 0.06559795844386454)","(0.09110141495122423, 0.18842508056145738)","(0.6264829463251009, 0.6844758727489866)","(0.03381204693846225, 0.08653755845510158)"
Bulk 23,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
