,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.07827458587120736, 0.2378013007145169)","(0.122734874367129, 0.2546068400032192)","(0.04731164996707977, 0.13536329255389914)","(0.26612151249447524, 0.3738254707762019)","(0.17348175722860149, 0.31047871602367005)"
Bulk 1,"(0.3678489128844456, 0.4910915428442056)","(0.03795185093687481, 0.1316561302110597)","(0.08547187319178093, 0.20578172833021838)","(0.2399507761056609, 0.3517617300416614)","(0.03147599264068606, 0.057009462813406846)"
Bulk 2,"(0.08883244919198684, 0.24160212097931066)","(0.10861353387956194, 0.23615850495915516)","(0.09661287435315985, 0.21579486744091309)","(0.2965173112494151, 0.40215448294104755)","(0.09797184296443814, 0.21574201204101176)"
Bulk 3,"(0.0912998961426709, 0.251723389271853)","(0.12126891196370831, 0.2539462350923578)","(0.08841259081922875, 0.20349904191865287)","(0.2623672402370486, 0.3716930196730791)","(0.11548402829387422, 0.24030564658752657)"
Bulk 4,"(0.23795275711648917, 0.3993944717037577)","(0.08934244728656172, 0.21532373445785952)","(0.07172723482446865, 0.1855460181684237)","(0.1778606086015696, 0.298967474902061)","(0.10425831606610106, 0.21962693687270782)"
Bulk 5,"(0.0019683197830885416, 0.08562902302440639)","(0.09395162794691864, 0.2110969907083795)","(0.06277626365760294, 0.15002412197520246)","(0.3868906969520315, 0.4909036328380153)","(0.18210776638714563, 0.33465155672720903)"
Bulk 6,"(0.17446882101937305, 0.3477685958328058)","(0.09145702727734928, 0.22208718274994554)","(0.08084490264542812, 0.20452626826957745)","(0.17564287102458898, 0.2963676048792656)","(0.14041299123386078, 0.26642373506780526)"
Bulk 7,"(0.029077202336456984, 0.17736553739201422)","(0.16103591540613138, 0.2989993938804377)","(0.10248570592824918, 0.22465683547919402)","(0.2054119932490066, 0.32152463584757796)","(0.1679142021642682, 0.3115285783166636)"
Bulk 8,"(0.14154183748096671, 0.287128667221556)","(0.032095858749842075, 0.12715289799054427)","(0.041005168599395174, 0.11756326111752641)","(0.3709721803290635, 0.4672954446736695)","(0.14493297938147687, 0.27031170445595976)"
Bulk 9,"(0.3679736248208878, 0.49635008002933534)","(0.08650672520371724, 0.1806330526676945)","(0.022737126690938653, 0.0693170298457681)","(0.005015027049409846, 0.0385824318909859)","(0.3110117719235478, 0.42187312987771486)"
Bulk 10,"(0.10066434448744113, 0.21839926997902462)","(0.014572201817987816, 0.08479067566186138)","(0.11504558945199884, 0.23343955019176377)","(0.4654522714230677, 0.5466160858951593)","(0.06737095709717414, 0.1536490539945212)"
Bulk 11,"(0.0, 0.042716358338714)","(0.194658715198204, 0.3284691430966499)","(0.06405277366246427, 0.163685831594458)","(0.2164914640937479, 0.32194142205940224)","(0.26573165473357174, 0.40679482736395534)"
Bulk 12,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
