,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.048767057652885526, 0.19365425278990525)","(0.12372614697067637, 0.25373475296070264)","(0.07236967849229202, 0.17686610007389458)","(0.29167807225254083, 0.3989772332540653)","(0.150732539597384, 0.28949416595565347)"
Bulk 1,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 2,"(0.0, 0.0003252895033683609)","(0.030321018437040617, 0.07736826234229348)","(0.18621684666745356, 0.3007416700942105)","(0.5355779837443284, 0.644546524762645)","(0.058735733107819064, 0.1664919608442095)"
Bulk 3,"(0.19363837288929653, 0.33201112112023445)","(0.020827265534590217, 0.1066824778430476)","(0.09984666955827001, 0.22414538184050312)","(0.34949820146051386, 0.447115602893056)","(0.0716890544199443, 0.15454585244054414)"
Bulk 4,"(0.17718960546062676, 0.35494858118602923)","(0.1143192805003395, 0.255804817908974)","(0.06790481655569988, 0.18125817990140894)","(0.19788260823875914, 0.31776009430630436)","(0.10432804869149563, 0.22860396725036247)"
Bulk 5,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 6,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 7,"(0.29762040945954865, 0.4463887895910153)","(0.0894747893402319, 0.21046412908767148)","(0.06852032220728504, 0.1785404752289983)","(0.13273774784013234, 0.2556944802131378)","(0.10283953672861852, 0.21771932030336055)"
Bulk 8,"(0.0796380625787151, 0.22972729425190314)","(0.1128104205813982, 0.23989268648049403)","(0.040222933642436766, 0.11908824731967102)","(0.366002664240328, 0.4644812190807086)","(0.10481135706142836, 0.2433251147629168)"
Bulk 9,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 10,"(0.039530272568794406, 0.18025451270046544)","(0.19623663880279218, 0.33161107554855895)","(0.03099350419001825, 0.10910488072078037)","(0.24450230157658945, 0.3551875882588351)","(0.18165144219400167, 0.33092778343916407)"
Bulk 11,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 12,"(0.25511171739686705, 0.40374440308984455)","(0.06375569878381379, 0.16852651528142037)","(0.004570382557964249, 0.03988368148884838)","(0.23902139923536883, 0.3464977661211822)","(0.1711452137112794, 0.3077432223334112)"
Bulk 13,"(0.058644563306464156, 0.1922580112989053)","(0.13817654309928606, 0.26156781232275783)","(0.0, 0.020384996877972114)","(0.30211909797809966, 0.40150983758440784)","(0.24562785211673582, 0.3838815561856011)"
Bulk 14,"(0.5730391628858819, 0.6634803592490831)","(0.04927250391468579, 0.1214300116754107)","(0.0, 0.008210165726081877)","(0.08532228758537354, 0.1775336974515187)","(0.10335320055772912, 0.21965825425926605)"
Bulk 15,"(0.29030159978020004, 0.43042660834233065)","(0.07386257210294458, 0.1820390989863471)","(0.0007633357535711174, 0.03108573705059444)","(0.26705098551817374, 0.37350004223876276)","(0.1105397013033131, 0.2404303189237625)"
Bulk 16,"(0.14464855120912767, 0.3111192912572055)","(0.10419580009520893, 0.23265579211992923)","(0.02890273815684076, 0.09790606211216844)","(0.23025406558434136, 0.3411488768480503)","(0.18600017624972737, 0.32316864636740034)"
Bulk 17,"(0.3570412443634449, 0.4959087418968368)","(0.09676258215546683, 0.21672865638130034)","(0.056711489122137734, 0.15641856034969193)","(0.06270120672011545, 0.18186134102501061)","(0.12305150674762186, 0.2528146712383733)"
Bulk 18,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
