,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.0, 0.00985418983955419)","(0.14116654852267785, 0.28037091272851006)","(0.024836268197838365, 0.12601344775825069)","(0.34323727150308786, 0.4415996505148358)","(0.2408649655553981, 0.3925573961216266)"
Bulk 1,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 2,"(0.26126662295878544, 0.396135873177333)","(0.052811219492246514, 0.155367003437057)","(0.04580854290336408, 0.1293369081849983)","(0.33183234806742795, 0.4308331508993197)","(0.06283614020171252, 0.13377219067775573)"
Bulk 3,"(0.03936432185221406, 0.17638775921763514)","(0.1284875753149306, 0.25798834919783237)","(0.08683879875464526, 0.1964783247109955)","(0.24658790773395955, 0.3563912530920271)","(0.18716250510380952, 0.32431320502195105)"
Bulk 4,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 5,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 6,"(0.27473544103366504, 0.43038361935971975)","(0.10062280587662216, 0.22060445822937197)","(0.008386279034729476, 0.0570022475687188)","(0.08497276122566208, 0.20265340726866551)","(0.24266796820255376, 0.3779710122002915)"
Bulk 7,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 8,"(0.008336677238171712, 0.10791182359357535)","(0.1464564489971776, 0.27059499292904376)","(0.08148577698936393, 0.1840876545327862)","(0.35272897852511725, 0.4614144028076796)","(0.11160012397565383, 0.27538312041143087)"
Bulk 9,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 10,"(0.04801345869776, 0.18891477227007364)","(0.12028268164124796, 0.24726307925556873)","(0.04150841565312028, 0.12601090255959163)","(0.3578782374715339, 0.46086628462157575)","(0.13128768569779098, 0.27797448213173703)"
Bulk 11,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 12,"(0.1682283645121156, 0.33212803349235526)","(0.08107007416946141, 0.20175720038065706)","(0.059753848816865594, 0.15751575553907668)","(0.20636052533262414, 0.3222429965586618)","(0.17098907561625457, 0.299954125581928)"
Bulk 13,"(0.01695735130620779, 0.12208498653411026)","(0.13079422248905076, 0.258545819754366)","(0.01284051593824112, 0.07066278743812489)","(0.35003567337214664, 0.45692109750548054)","(0.2189563540624801, 0.36220119159979186)"
Bulk 14,"(0.4753483191786238, 0.587671250902244)","(0.05140435200687748, 0.1416377360920822)","(0.037940568112667265, 0.11107163354502719)","(0.03636121356318638, 0.1311042831698499)","(0.1490617746732387, 0.278398868756203)"
Bulk 15,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 16,"(0.1005709295940231, 0.26354247729162134)","(0.13134309623911256, 0.26506353406060656)","(0.03819916008012406, 0.12020773040613136)","(0.2452390339244378, 0.3555317054126277)","(0.17051792116431033, 0.3097844118270052)"
Bulk 17,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 18,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 19,"(0.010291798285190848, 0.11688126343246615)","(0.20451622101838307, 0.34048083103675386)","(0.015167096230527269, 0.08165242433592272)","(0.2546211901845294, 0.3681699650332972)","(0.2297091470270955, 0.3785100634158341)"
Bulk 20,"(0.0, 0.07190943405413106)","(0.14304906648572757, 0.2816670216494602)","(0.022057723599994923, 0.08584491263660049)","(0.31186707694745314, 0.42318951548138645)","(0.2601660116934673, 0.4013178076159907)"
Bulk 21,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 22,"(0.0, 0.0002330095107542174)","(0.07189039725160526, 0.1260519204492178)","(0.1276877669605361, 0.22256614623777085)","(0.6597904213854938, 0.7380098505808063)","(0.004196622130313677, 0.04980687500425647)"
Bulk 23,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 24,"(0.08943554417817384, 0.25094413838813645)","(0.15361051729645847, 0.29192063036668425)","(0.039163619844281995, 0.12173183717783961)","(0.3227209664287458, 0.42684572971046963)","(0.08271839814092724, 0.2209086184682828)"
Bulk 25,"(0.13730562481040096, 0.2523751933184005)","(0.01046452455651424, 0.07253066218793217)","(0.17849163801241225, 0.30437715560431494)","(0.4519996191583188, 0.5377183568148375)","(0.018994252493965837, 0.03574297304290278)"
Bulk 26,"(0.3043155240352142, 0.44273195646350616)","(0.04810102260913903, 0.1478853413501485)","(0.03546206225342518, 0.10390087026261743)","(0.22469950414315454, 0.3373055549177091)","(0.11779862491225276, 0.23779953905283316)"
Bulk 27,"(0.1850890094198531, 0.3458299830906233)","(0.12871433175362568, 0.2618749204608572)","(0.02390663111342611, 0.08607890208130213)","(0.27435275198818615, 0.3812405999336345)","(0.09060955618787438, 0.22230331397061764)"
