,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.25744796903645506, 0.403163126457878)","(0.08188884901567613, 0.19218223578937838)","(0.0020193421855676345, 0.03684850899605048)","(0.2676168486643443, 0.3724596940799809)","(0.12512607302019713, 0.26124735275447203)"
Bulk 1,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 2,"(0.2206308934650123, 0.35414550237262776)","(0.06862778851381929, 0.16893248935005378)","(0.0884507435435749, 0.21242762643979568)","(0.3915695380626063, 0.4815047444376104)","(0.004430311190295968, 0.009280362624603626)"
Bulk 3,"(0.0, 0.029972348582407507)","(0.23218337502632563, 0.36403207279637756)","(0.05673750172213601, 0.17157671230876997)","(0.19389394330574172, 0.2999604555175958)","(0.25460616302352046, 0.3998894745278875)"
Bulk 4,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 5,"(0.023556204025704408, 0.12558838547455875)","(0.1290829614087413, 0.2500232171950669)","(0.00042819583077146825, 0.040846246334984904)","(0.43634638160210343, 0.5388754986559277)","(0.1524056936093377, 0.30284721586280366)"
Bulk 6,"(0.2200257209522118, 0.38440314024128613)","(0.08643780772389023, 0.20991304308438993)","(0.13772119186437765, 0.2867748604519207)","(0.06309160737592989, 0.17892190165104957)","(0.15195841314531394, 0.2807523135096301)"
Bulk 7,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 8,"(0.007142250524217297, 0.12422360824471051)","(0.183745816841602, 0.31679890325042015)","(0.1069605838972773, 0.22574878084163857)","(0.22474163011871717, 0.3410735461059319)","(0.1566930569597927, 0.31287182321569257)"
Bulk 9,"(0.2828518104419446, 0.42510513236585495)","(0.14686811665441954, 0.2550426940542827)","(0.02295455236257342, 0.07646235826027961)","(0.003388446919497917, 0.02711625065227534)","(0.3255417599683589, 0.43466887832051326)"
Bulk 10,"(0.0, 0.008770073915661009)","(0.15421432177938643, 0.2809107586620396)","(0.03530116640457576, 0.15200460484291056)","(0.3242072191670507, 0.43122112023616405)","(0.23171191932010973, 0.38175279766748116)"
Bulk 11,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 12,"(0.2448994921316378, 0.4003815725176449)","(0.0834856389434395, 0.19768808306220717)","(0.008817383184323655, 0.05402906842397158)","(0.16893966542180747, 0.2819225724362904)","(0.21156325655460262, 0.3482732673240748)"
Bulk 13,"(0.09147565951740272, 0.2191822728264809)","(0.014676631334080696, 0.09005367019834887)","(0.0737328961612125, 0.1768063690816316)","(0.3856444995413774, 0.4797629735823436)","(0.1713985613088866, 0.29726646644823507)"
Bulk 14,"(0.49236785735143107, 0.5931645277638796)","(0.044727118021682874, 0.1395470655631153)","(0.04925427743587471, 0.138934956685472)","(0.10072824486580159, 0.21516719496750078)","(0.06703215455821054, 0.15907660278703165)"
Bulk 15,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 16,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 17,"(0.36388103347017775, 0.4972522375097762)","(0.08459011580694059, 0.2001027523184084)","(0.038546091722052304, 0.11333566445670848)","(0.14106252461063254, 0.2613962942359613)","(0.09113879278027232, 0.20869449308907023)"
Bulk 18,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 19,"(0.042809589157391206, 0.1736632102872817)","(0.16601521359077395, 0.29642690588168397)","(0.014093616323255887, 0.07510711007728899)","(0.32610668930203757, 0.43282213730486907)","(0.16000958466657494, 0.3129459434088425)"
Bulk 20,"(0.0, 0.0005441763978426322)","(0.09707478089766938, 0.17576744460619823)","(0.05585342721010784, 0.16275084333030224)","(0.4725725858716899, 0.5868800516969441)","(0.15923161568066002, 0.2898692507064282)"
Bulk 21,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 22,"(0.0, 0.0006314033743188241)","(0.11639673518121456, 0.21708971169947627)","(0.03784518661529426, 0.1431439671263868)","(0.46713437163438887, 0.579143264712198)","(0.14533404727437074, 0.29391271575667044)"
Bulk 23,"(0.06297603715329242, 0.18847253820315257)","(0.08921625401744557, 0.20128481985313215)","(0.03441866871368192, 0.10557937019886239)","(0.4490717698997907, 0.536013951331214)","(0.10127426352735154, 0.23169232710207693)"
Bulk 24,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 25,"(0.08396571089428159, 0.2238921203073352)","(0.12867235240125305, 0.25163520398197914)","(0.0, 0.03551808787950651)","(0.34246891683644193, 0.442056412340556)","(0.17273713356300885, 0.3197615824204356)"
Bulk 26,"(0.09492665983831672, 0.26308026652657895)","(0.1309159830231698, 0.265697369923193)","(0.07248521076890835, 0.18154528442003925)","(0.17830704577049067, 0.2955491066925477)","(0.1932401769881303, 0.32425289604862495)"
Bulk 27,"(0.20387020834550063, 0.3617904438884778)","(0.11375440386690865, 0.24277513992168076)","(0.017961255585728773, 0.07138843481053694)","(0.27485549069424053, 0.3830806484681626)","(0.09631635926270554, 0.2342076151560576)"
Bulk 28,"(0.14523356735995963, 0.3116481936396951)","(0.10147557642382062, 0.2314594013663801)","(0.05309566296968936, 0.1448250269085975)","(0.262400352308562, 0.3717612922413574)","(0.12435129348428228, 0.2537496332976561)"
Bulk 29,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 30,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 31,"(0.30105632166323465, 0.4497242484962279)","(0.10162253588058356, 0.22337477205162287)","(0.01997491553908085, 0.0751291620045235)","(0.14599745578571857, 0.2658291590018266)","(0.13991042746510962, 0.27738100211207206)"
Bulk 32,"(0.26398831972759107, 0.392580145490772)","(0.007503031937797389, 0.0546949505522637)","(0.06042465623215735, 0.16012161651143086)","(0.32007600239739126, 0.42296266930815124)","(0.10038498492551395, 0.21726362291693108)"
Bulk 33,"(0.019581072082934428, 0.08703427913672936)","(0.11479993391978459, 0.21012750625675897)","(0.13741860475367834, 0.24776878197995872)","(0.5411798270735794, 0.6145977686813914)","(0.008835964081946836, 0.01865626203323825)"
Bulk 34,"(0.05924747358809711, 0.201538910240799)","(0.12370428637992868, 0.2506306744885529)","(0.0, 0.03916206439059146)","(0.3042033815205315, 0.4063568933507856)","(0.23763312093481967, 0.3778948792374016)"
Bulk 35,"(0.3228651365341885, 0.45337937839916925)","(0.034959472930998915, 0.12052267625273577)","(0.005184823937697848, 0.03691207765079691)","(0.2709223103609655, 0.3789299730802689)","(0.125232172635755, 0.25109197821742335)"
Bulk 36,"(0.10150960208073685, 0.26467899388210814)","(0.1347257612025437, 0.267641260088329)","(0.03588591708664925, 0.11415051250016943)","(0.20445191454832973, 0.31794512004704883)","(0.21169808869419537, 0.34731282986988965)"
Bulk 37,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 38,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 39,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 40,"(0.08275616172287348, 0.23297686509474502)","(0.07791492565727023, 0.19642785999281595)","(0.027527406163162974, 0.09382417925237257)","(0.2687682729355093, 0.3734194240513542)","(0.2595758062970218, 0.3868090988328743)"
Bulk 41,"(0.31423354092857836, 0.4598219740587407)","(0.09689749429088451, 0.19915210814343665)","(0.0, 0.009782120483916395)","(0.09625232863338277, 0.20238910084528533)","(0.2422622759289353, 0.38043562605439846)"
Bulk 42,"(0.0405119341018767, 0.184937045551387)","(0.13299908446467462, 0.26495343454753506)","(0.08202367126471917, 0.19184603793212923)","(0.2560416262248875, 0.3667463796879746)","(0.16947411669554702, 0.3104666695292694)"
Bulk 43,"(0.09667661450045979, 0.24247420207540504)","(0.056100769960390054, 0.16509230613685955)","(0.05389218470791796, 0.14308424380169169)","(0.3514232428482333, 0.4506376335821303)","(0.1553496657760004, 0.28526913661091197)"
Bulk 44,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 45,"(0.585110757918883, 0.6762699340978304)","(0.05587583557242293, 0.13991796628252437)","(0.01954638460847816, 0.0638201631988559)","(0.02412627932285446, 0.09778725899536572)","(0.11038107052143975, 0.22716434948134523)"
Bulk 46,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 47,"(0.4868779048164468, 0.5957652210201124)","(0.06135174834258791, 0.15521804581290283)","(0.022828474189065567, 0.07613440470733125)","(0.06744507686266019, 0.17558258021396994)","(0.11827304236685911, 0.24052350166806397)"
Bulk 48,"(0.3520890392706977, 0.49286899983236)","(0.09868288114044318, 0.21161262714056558)","(0.0026906857530221567, 0.04010995595015072)","(0.1096148000253667, 0.22383972609329075)","(0.16416419990821676, 0.30432708488588645)"
Bulk 49,"(0.05103040041167639, 0.18357129884380094)","(0.08131753232657449, 0.1973004422439921)","(0.03468480485263756, 0.10856678872852363)","(0.3660176819257598, 0.4653857171162482)","(0.18760003343155734, 0.3245253001192296)"
Bulk 50,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 51,"(0.23898279534419026, 0.3853953332331696)","(0.08252119965060767, 0.19849753157587707)","(0.017515696059874155, 0.06968257875075742)","(0.2793576853263109, 0.3867419319068458)","(0.10602782119559545, 0.2352774269567719)"
Bulk 52,"(0.18007025975577495, 0.32468840883925587)","(0.02416639469614705, 0.11129288175750722)","(0.07766828871379101, 0.1875500578571621)","(0.33006400137441844, 0.4303232381501922)","(0.11177339019353405, 0.22240307866221698)"
Bulk 53,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 54,"(0.2660359547959631, 0.3962120156746507)","(0.0308851939972749, 0.121376763468457)","(0.052090052882373956, 0.1422208804017723)","(0.35321508817711184, 0.4501854641241571)","(0.05994782236819652, 0.12783076411004243)"
Bulk 55,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 56,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 57,"(0.43247895510170675, 0.5514894149889735)","(0.051401375257757016, 0.14613973212076628)","(0.09420814259852693, 0.21772307837066346)","(0.039365092038419286, 0.1379147463538862)","(0.10617578389265345, 0.22310367927664712)"
Bulk 58,"(0.3998536250315292, 0.5281916310400134)","(0.07328610819502247, 0.1774078271816747)","(0.04797408739725303, 0.1305794624688663)","(0.05894554933634245, 0.17319830934673214)","(0.1408129679572681, 0.2697504320452981)"
Bulk 59,"(0.28846229449084165, 0.4384669468093833)","(0.1028522839879984, 0.22705326920658392)","(0.13089711898132594, 0.27701027396120875)","(0.06654243871711442, 0.1851342462818224)","(0.08669887706816912, 0.19688225049555189)"
Bulk 60,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 61,"(0.18817938960738545, 0.33753999637906507)","(0.023564654609233987, 0.1148202074667885)","(0.1275088802728423, 0.2654049113671071)","(0.26851659635268244, 0.3777068661271862)","(0.096367470601303, 0.20039102721640578)"
Bulk 62,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 63,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 64,"(0.0, 0.0006591107126597257)","(0.15606599119638065, 0.2567362908133643)","(0.08768286884412961, 0.22762014222241062)","(0.33203641571679515, 0.4729404040458736)","(0.15539268742160897, 0.31152519973943704)"
Bulk 65,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 66,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 67,"(0.19005784853647376, 0.3517264944530024)","(0.09614827599822567, 0.21822041525349356)","(0.015631079731069503, 0.06779460545717907)","(0.21604478510227235, 0.32724018769633917)","(0.18909545975051506, 0.32804084802142935)"
Bulk 68,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 69,"(0.0016002340519947617, 0.0812734836787253)","(0.14492064898842544, 0.28429271752010277)","(0.007925991132973109, 0.061015498751836136)","(0.3501268277589353, 0.4667280134940682)","(0.22676368146206707, 0.3753529031608722)"
Bulk 70,"(0.06504052240843333, 0.14478035255322017)","(0.0016832395767223656, 0.005848995974097866)","(0.07935806056792935, 0.1938186775644644)","(0.5481993669183209, 0.6273072255207592)","(0.09755057070783679, 0.23641298820821538)"
Bulk 71,"(0.11581147674543116, 0.28128525932595605)","(0.15558441409977974, 0.2913729830981044)","(0.022375192232455203, 0.08901109199301327)","(0.19492245276137943, 0.3083055466573713)","(0.2000826767470263, 0.341248906339483)"
Bulk 72,"(0.0, 0.0008521848957835588)","(0.19196693095512818, 0.3198231164443782)","(0.003633238759130006, 0.09255649723443071)","(0.3688860115903539, 0.4587888041861193)","(0.20535147003771498, 0.3589939307927444)"
Bulk 73,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 74,"(0.08598719082555424, 0.24792941001514834)","(0.15230778388990082, 0.28727837471302853)","(0.05774422522315672, 0.15470021011577748)","(0.17803804132875792, 0.2944487334362447)","(0.20410705554242684, 0.3374589749100043)"
Bulk 75,"(0.3287884370172438, 0.4662783606566394)","(0.03353220452434417, 0.1247211895929444)","(0.1185696456192617, 0.2634259225430384)","(0.10541192412780534, 0.22665723584043565)","(0.10920827216111735, 0.22340680791716983)"
Bulk 76,"(0.13186842753790876, 0.2552524751880973)","(0.045113135048322726, 0.13683554348280128)","(0.0027643453548399175, 0.032579936330889334)","(0.47024944369402527, 0.553074893233274)","(0.12376854955908359, 0.2484932505707579)"
Bulk 77,"(0.42608602712329435, 0.5412209749650713)","(0.021740894945267854, 0.09836358428219982)","(0.03977107211074329, 0.11512683868304896)","(0.17331555099369123, 0.28866505014082117)","(0.09254301254309792, 0.20316699421276413)"
Bulk 78,"(0.2747971700383691, 0.42765747390490505)","(0.08306115195442088, 0.19695203029338032)","(0.06518780027679048, 0.17219565824272054)","(0.06594971377919906, 0.18523189137320073)","(0.20119965473006235, 0.32776745540695157)"
Bulk 79,"(0.13693438040669695, 0.3031483729818881)","(0.10909058224407092, 0.2400299311748877)","(0.031648561394146894, 0.10341235750951297)","(0.27084709477036195, 0.3795696423235263)","(0.1424001812145531, 0.2829188959803552)"
Bulk 80,"(0.10155537182960597, 0.27878198908708474)","(0.10737929729168497, 0.24479332466893614)","(0.08933360787989542, 0.21491866786691471)","(0.15415994507037864, 0.27586698053854697)","(0.203703868572168, 0.3295069471947846)"
Bulk 81,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 82,"(0.2497775958989129, 0.36948386093629837)","(0.08215965843737427, 0.15969718047638432)","(0.0889236714073195, 0.20025610540863986)","(0.38613395819708035, 0.4635679692379903)","(0.0, 0.0002303140086669799)"
Bulk 83,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 84,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 85,"(0.04690759108854843, 0.181874755741673)","(0.19519361054407564, 0.3270664084651052)","(0.0073495797495074545, 0.06330393723202886)","(0.2432569950065279, 0.3493270986919597)","(0.2213294280883144, 0.36439059539225943)"
Bulk 86,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 87,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 88,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 89,"(0.16358592285314605, 0.33025975066896834)","(0.10518413280831977, 0.2328757796196434)","(0.03639352394251377, 0.11274769356255851)","(0.20666042015817632, 0.32052554533837996)","(0.17921837395959578, 0.3125488570886981)"
Bulk 90,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 91,"(0.2088322556598472, 0.368262635198634)","(0.096525650533663, 0.2199042682278183)","(0.03109771642252348, 0.1001879684248706)","(0.21265427688060995, 0.32774658481754154)","(0.14958237229027282, 0.2852062715442191)"
Bulk 92,"(0.18231309058892833, 0.35909911385540083)","(0.13278986097108475, 0.2710526258995499)","(0.048163811270818126, 0.1426820483205836)","(0.07665138070979666, 0.19931703516640725)","(0.22817335474430286, 0.359757678473128)"
Bulk 93,"(0.0, 0.08200411649358347)","(0.18004503592758406, 0.30669096135527474)","(0.11923849426610818, 0.2318271999825337)","(0.2723413522130726, 0.3860845363923053)","(0.1261977201926368, 0.2984124158820382)"
Bulk 94,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 95,"(0.02211215602927038, 0.1406092992055002)","(0.1058864017829203, 0.22602291776244676)","(0.0815523448779021, 0.18349867023270594)","(0.38927822206827317, 0.48935706333494516)","(0.10712401328724502, 0.2545589114187908)"
Bulk 96,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 97,"(0.3138223569528649, 0.45514602757102857)","(0.05195580403974397, 0.15275969506319684)","(0.07603808108492531, 0.18989633427269703)","(0.1421183386217972, 0.26329875771761585)","(0.11966700167799826, 0.2352976029981323)"
Bulk 98,"(0.27671270320075114, 0.422804216143121)","(0.04040947865325979, 0.14134205860056465)","(0.12483731718957643, 0.27250622389027124)","(0.1565032294487932, 0.277448122420361)","(0.09324724968299106, 0.19418940077031024)"
Bulk 99,"(0.0560232668503612, 0.2045842347798389)","(0.05456968067220434, 0.16891066684311207)","(0.08920149779770842, 0.20007937843769696)","(0.32142752759701215, 0.42404330381423644)","(0.17391045503024566, 0.3072499881775838)"
Bulk 100,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 101,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 102,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 103,"(0.0, 0.013649571642531748)","(0.20516094698405934, 0.34616691270237826)","(0.0, 0.04280671141592055)","(0.31458638730821564, 0.4405433244408752)","(0.2445547309596795, 0.3983436808650006)"
Bulk 104,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 105,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 106,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 107,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 108,"(0.04285330451865613, 0.1665517408943113)","(0.039199743971266375, 0.13862572590427283)","(0.13494086901448127, 0.25735870575525255)","(0.35496363306252, 0.4526586337329287)","(0.14015300073525516, 0.27269464241105573)"
Bulk 109,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 110,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 111,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 112,"(0.23671274115036098, 0.3885646295348776)","(0.0719739349483608, 0.18594590146289686)","(0.02536009282879657, 0.08532722259947477)","(0.2514324878943749, 0.3612055424648448)","(0.13173966305238027, 0.2617377840636323)"
Bulk 113,"(0.06389052407272038, 0.21660226351417794)","(0.06995063547216908, 0.19242471142416723)","(0.19694552247205643, 0.3373121481950082)","(0.2268653280820278, 0.3407516515490429)","(0.11611646920598975, 0.2391407460126401)"
Bulk 114,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 115,"(0.10521230525900363, 0.28233613871421326)","(0.11169785927672506, 0.24878557248046523)","(0.09786223034305902, 0.2279865710156787)","(0.1563114113446344, 0.27858523298526006)","(0.1810169578568549, 0.3102057207241059)"
Bulk 116,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 117,"(0.04654183231400859, 0.18036886930149715)","(0.1872492901122409, 0.3185514760406326)","(0.0, 0.039739032733790244)","(0.2480184670156088, 0.35197475942354184)","(0.24465975467304207, 0.38483381082887574)"
Bulk 118,"(0.18812202841675207, 0.3519810791123481)","(0.14800865581034758, 0.2816650320928945)","(0.0017116241101526597, 0.04114754816129333)","(0.23244898280072213, 0.34155833989370266)","(0.13172617867431527, 0.28163053092747126)"
Bulk 119,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
