,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.07327455260698504, 0.23135271762376244)","(0.15563249884982056, 0.2917044302868245)","(0.04537654801151612, 0.1316188826611381)","(0.23836776614988944, 0.34828765329915107)","(0.17225803584687815, 0.31212691466403447)"
Bulk 1,"(0.3306339370614355, 0.45586770190690173)","(0.026189947267499236, 0.11079157652526384)","(0.0314409972183735, 0.09240300542884113)","(0.29743839877848455, 0.4027895921473187)","(0.07737527665891487, 0.17506956700696702)"
Bulk 2,"(0.16329825677669066, 0.31735132083390427)","(0.08175961539358415, 0.20233984725574386)","(0.11194673681294706, 0.24246519184221813)","(0.2792542656073274, 0.38579334206745713)","(0.06969436777740684, 0.14609705563272044)"
Bulk 3,"(0.14261592316263466, 0.3008287812931926)","(0.06950029763744363, 0.18682185146408792)","(0.08403067378614701, 0.19732047387329635)","(0.30020105577340467, 0.40476200448581806)","(0.10186378896909332, 0.2120551495548818)"
Bulk 4,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 5,"(0.0314062375790762, 0.13994007795028093)","(0.07065957909434717, 0.17610318313442788)","(0.04364197351181199, 0.12433011098912339)","(0.4573366154353096, 0.5476746554614386)","(0.13605649506841827, 0.27285107177576573)"
Bulk 6,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 7,"(0.230832696022618, 0.39010703148185266)","(0.09325544605388056, 0.21566200323744908)","(0.03222253326574736, 0.10055852369187829)","(0.20088212806399816, 0.3164653306016375)","(0.1434330932757702, 0.276581214305168)"
Bulk 8,"(0.08885132512742804, 0.2469359495451557)","(0.13392327239425245, 0.267868847006929)","(0.040109775629413216, 0.12232536418358704)","(0.33036252992894544, 0.4318314043188294)","(0.10129170059464138, 0.23649983127081858)"
Bulk 9,"(0.4139371220222458, 0.5336918116168917)","(0.011730372140644887, 0.04752388039578819)","(0.033411344122900845, 0.10288858642960816)","(0.1068341365955226, 0.21643898150626434)","(0.1993072864973967, 0.33423647867273687)"
Bulk 10,"(0.006065482096920663, 0.07803232818410083)","(0.0958122269883395, 0.1936618478338317)","(0.06106031350073907, 0.15087461194184723)","(0.5514923061586222, 0.6319495537230405)","(0.04814514852020775, 0.1829061810523505)"
Bulk 11,"(0.00696678369052358, 0.10014083233260718)","(0.18179686952456275, 0.32728782372945997)","(0.0, 0.04262960233650595)","(0.28336678710200214, 0.4006824220014157)","(0.2576520142590951, 0.40100899069355966)"
Bulk 12,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 13,"(0.1719899662651034, 0.2947468119855226)","(0.013674707770740799, 0.08423440053192781)","(0.05219929893984881, 0.14008569297362444)","(0.46256097738728136, 0.5437110981406676)","(0.07333150974947186, 0.1634655362558113)"
Bulk 14,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 15,"(0.22331623561489966, 0.37630833397780095)","(0.04838793521060724, 0.15595069604734407)","(0.07361593405326192, 0.1856166069280887)","(0.2491660118216122, 0.36249628808311735)","(0.10539744757866233, 0.21974451068460565)"
Bulk 16,"(0.2607720449334301, 0.38362669239782676)","(0.007586662690680144, 0.029608571659836463)","(0.023881555790125773, 0.0736224915257413)","(0.329910730938373, 0.4390708360207377)","(0.1578243797771451, 0.29409603426610376)"
Bulk 17,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 18,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 19,"(0.06287363667846181, 0.21682158116077965)","(0.12205387798192054, 0.2544395007493714)","(0.08462593913820252, 0.1954202749327574)","(0.25610635018076755, 0.36611284832531665)","(0.15306800526198322, 0.2884779855904391)"
Bulk 20,"(0.0, 0.0007351971431207422)","(0.1627226007632318, 0.27457291308072435)","(0.037016290011325025, 0.15499320454416873)","(0.34984073973148055, 0.46545951916413875)","(0.2037412849190501, 0.3516534477858807)"
Bulk 21,"(0.27346024511006534, 0.38860765277863457)","(0.00044561428646959836, 0.002037415810365029)","(0.08498219526454794, 0.22930754608748405)","(0.45641666183058666, 0.5453869605151553)","(0.004324771687713805, 0.015030936628977858)"
Bulk 22,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 23,"(0.12298079213201352, 0.27117062418063026)","(0.08726097323537083, 0.20444448581433325)","(0.014264123494750942, 0.06655690115717709)","(0.3858426290981301, 0.4789991316614591)","(0.11635447113804684, 0.25212586808808823)"
Bulk 24,"(0.1389909564923739, 0.31358671542605654)","(0.1549777647676106, 0.29403771677817647)","(0.020570393092581588, 0.08649482889834283)","(0.1447376913281252, 0.262492782180067)","(0.22311367340608657, 0.36099747763057943)"
Bulk 25,"(0.28630790274776774, 0.435215361833037)","(0.1037113874289173, 0.21872491452922851)","(0.0028886015279351134, 0.04162700860657979)","(0.15455084391866236, 0.2693958572056628)","(0.17350739203808507, 0.31407073016412407)"
Bulk 26,"(0.3927430322549553, 0.5018089724516721)","(0.003300022495359988, 0.011976346107381082)","(0.07566038292211284, 0.19782989997684935)","(0.28003481537397623, 0.3858775698625939)","(0.02525080447844709, 0.12551815407665223)"
Bulk 27,"(0.17184236754332488, 0.34042304435702037)","(0.082008246116452, 0.20475870988726627)","(0.07269767717212156, 0.18513612191771017)","(0.1573967111065865, 0.2796193631523424)","(0.18980571988820438, 0.3163120388589712)"
Bulk 28,"(0.0935309446178409, 0.23272095319641967)","(0.0684005114767817, 0.17966495165896565)","(0.07306014147006312, 0.1751248816081696)","(0.3742876504355865, 0.4695842331625187)","(0.10778343951598719, 0.22584229285766688)"
Bulk 29,"(0.4090398740953902, 0.5293604952999416)","(0.03985537901968455, 0.12988495418212725)","(0.03991183018678596, 0.11413519727626434)","(0.15759390190909617, 0.2735018881177029)","(0.09820742445847283, 0.20850905545453405)"
Bulk 30,"(0.08909557847503921, 0.2570802333501657)","(0.13120696392633224, 0.268362340737737)","(0.060295699104487246, 0.16049710548720886)","(0.25556251991705126, 0.36685635607128975)","(0.13679629034576177, 0.27424691258492684)"
