,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.06239203043737941, 0.22181979115167083)","(0.17363031332729678, 0.3116892610310788)","(0.04949054058255962, 0.14365664233685035)","(0.1945661131452859, 0.30795791310390197)","(0.19843873597852688, 0.3363586589054497)"
Bulk 1,"(0.07236140297411142, 0.24051225028715933)","(0.1833954238779234, 0.32872740064115813)","(0.09542161882533028, 0.22470346395578367)","(0.19809332154063164, 0.3177582169843046)","(0.1029305528061267, 0.2360963481074708)"
Bulk 2,"(0.003054111443743554, 0.09321480196582592)","(0.1632572698961498, 0.299338663029339)","(0.024173156297831185, 0.09325053289577151)","(0.31948159694148875, 0.4341667561750446)","(0.20860811637300639, 0.36145499498179934)"
Bulk 3,"(0.019100969326834333, 0.14744431585361542)","(0.17291695847198257, 0.30628474761531516)","(0.07527074058424787, 0.18078504204766083)","(0.25309160344425186, 0.36537344171806685)","(0.16405925529905985, 0.31567292563896526)"
Bulk 4,"(0.22950450213681986, 0.3934657893776423)","(0.14171457212727967, 0.2743422856422046)","(0.009517147203970334, 0.06045634138718048)","(0.16281697635833614, 0.28033643896297933)","(0.1511308781166949, 0.2967150686868923)"
Bulk 5,"(0.10104059911874545, 0.22999340898890813)","(0.053783770855015414, 0.1535759600881112)","(0.01206584381702672, 0.057817942426726235)","(0.4515428788039974, 0.537061025570188)","(0.13675735670437575, 0.2663612136269057)"
Bulk 6,"(0.40990686268617604, 0.535664913573935)","(0.07082564916882404, 0.17036046266457694)","(0.04904981443420882, 0.127282381247401)","(0.021239310738731906, 0.10060957583765584)","(0.19398410733968036, 0.3210769223088102)"
Bulk 7,"(0.29985175229135597, 0.44638520772821044)","(0.06308146281122348, 0.17523117313579187)","(0.049239100971403646, 0.13749329248898962)","(0.16787220222337973, 0.2876354408522899)","(0.12485992305096759, 0.24835044444638782)"
Bulk 8,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 9,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 10,"(0.0, 0.0007628421187763016)","(0.15119259503002358, 0.27259425348501226)","(0.0235429307765384, 0.13696343693587373)","(0.35074615396053066, 0.461105831433658)","(0.22899726854788538, 0.37485752983047815)"
Bulk 11,"(0.10334378823647346, 0.24410058833922227)","(0.141594526740528, 0.2585971063252104)","(0.0, 0.01185455431593024)","(0.3019119586534376, 0.40235424457497665)","(0.19688837732818917, 0.3401910265017509)"
Bulk 12,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 13,"(0.02808982745040045, 0.15079686676621562)","(0.16732334057036619, 0.30153646876604095)","(0.0028611359296174532, 0.051634923537384525)","(0.26385530135883317, 0.36910281317583626)","(0.2648551302715569, 0.3999441921737485)"
Bulk 14,"(0.2020381548060616, 0.367253197605074)","(0.06324388750423865, 0.18556496902118305)","(0.1721805318479768, 0.3328171926374206)","(0.1278638660724539, 0.2513546727220206)","(0.09167619481478008, 0.2060073329687908)"
Bulk 15,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 16,"(0.20590046799291994, 0.3584066331100694)","(0.10486861340248095, 0.21340971216761817)","(0.0, 0.011911618127170457)","(0.22379243141923572, 0.3292423613065894)","(0.20687757250217167, 0.3474041215564234)"
Bulk 17,"(0.30554364541700313, 0.44965179813850337)","(0.0516546982965495, 0.15334666031243913)","(0.15213401812260008, 0.3022466724435923)","(0.07762102063597315, 0.19463882788383752)","(0.09932758674222782, 0.21383507200727403)"
Bulk 18,"(0.08681806267175927, 0.2507210359170561)","(0.08164557475435101, 0.20706409752639388)","(0.08113150481859858, 0.19387115897733131)","(0.24926466661194224, 0.36048686870035007)","(0.1794213977637114, 0.3095756322585061)"
Bulk 19,"(0.01734798060350358, 0.1406277721401319)","(0.15634731862935414, 0.2887375047833132)","(0.051676388847262424, 0.14200439056181827)","(0.2532547021846502, 0.3618230424096337)","(0.22383087531556092, 0.36435002452477216)"
Bulk 20,"(0.0, 0.0006696229304987953)","(0.14985941527425015, 0.25204763089383575)","(0.05232630386578445, 0.1794154769420473)","(0.3612628836417358, 0.4875773148378601)","(0.1851556185217415, 0.33235535602274485)"
Bulk 21,"(0.17639535558766456, 0.3226122797477766)","(0.08527934262319094, 0.1894746379427259)","(0.0, 0.01327576430055032)","(0.28350275657886015, 0.38499408504000143)","(0.20529531786878127, 0.34111471658910386)"
Bulk 22,"(0.0, 0.0007785665867172662)","(0.18574944477832533, 0.3063817980180914)","(0.02260890926547013, 0.13345714368140182)","(0.35980954402288773, 0.46493139635759256)","(0.18580579139470005, 0.3412559724815309)"
Bulk 23,"(0.06336534538649724, 0.18101429175437037)","(0.02526061128743424, 0.1102512793593981)","(0.04783985199054185, 0.13090171947606064)","(0.4419656173524539, 0.5307791866548762)","(0.1708741183654598, 0.29774797837290773)"
Bulk 24,"(0.2623981330252788, 0.40800798309891084)","(0.03730336004211086, 0.131639202370426)","(0.1251354157726578, 0.26776327792100935)","(0.16934115681256584, 0.29085773409257737)","(0.10016048548527884, 0.20739325137918407)"
Bulk 25,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 26,"(0.1679642985623983, 0.32997560593362457)","(0.1461940637461452, 0.26740285768959277)","(0.0, 0.011915528107175645)","(0.14431683615315144, 0.2526164284325402)","(0.2733750932811527, 0.4083180915902721)"
Bulk 27,"(0.09593008159367056, 0.24354577075052697)","(0.11597283670127238, 0.2448319841117994)","(0.13937823114218012, 0.279133465761039)","(0.3473991061616842, 0.4458208966070876)","(0.030321755497233246, 0.057665871673506564)"
Bulk 28,"(0.10760994566807597, 0.2613339023156279)","(0.05506854345261343, 0.16520200203070695)","(0.06476808969277903, 0.1642134585548121)","(0.28749870018861573, 0.39365395293654587)","(0.18658674424596766, 0.31406466091425533)"
Bulk 29,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 30,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 31,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 32,"(0.07625301047411713, 0.2416163542771509)","(0.1305081615640979, 0.26687338505734626)","(0.055275716058163095, 0.15260602906166829)","(0.2608241959022779, 0.3706919634207947)","(0.15371043494094824, 0.29164074924343564)"
Bulk 33,"(0.0, 0.05429034038730706)","(0.2038393312161241, 0.3370089752014682)","(0.05638920945376421, 0.14565608228353266)","(0.27885529054014296, 0.38876696387656134)","(0.18698796342222201, 0.3528277382946472)"
Bulk 34,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 35,"(0.32966508527010024, 0.47508683902873344)","(0.10905975582942763, 0.2323330643147895)","(0.02784486458279238, 0.09416787206898876)","(0.10361903204652892, 0.22491805360061298)","(0.1342934724519111, 0.26901196080611517)"
Bulk 36,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 37,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 38,"(0.447594301506723, 0.5511654968211657)","(0.005414420293264799, 0.036575125412681445)","(0.0059415189972405295, 0.031156016792270102)","(0.29755914048775073, 0.40438994705119174)","(0.06488820503748591, 0.1553158276002264)"
Bulk 39,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 40,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 41,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
