,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.19094820083052416, 0.3564284274619757)","(0.11637932665214, 0.24653553464444256)","(0.04333594924846235, 0.12444738067039965)","(0.18872775458279717, 0.3058121490583754)","(0.14728425551042468, 0.28010102134045833)"
Bulk 1,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 2,"(7.425638853274935e-05, 0.07449757840253632)","(0.17895631928075734, 0.327185855647619)","(0.005505411215410261, 0.05732859740653434)","(0.21750389950265353, 0.33102373422229275)","(0.3443409639225901, 0.46358338401107374)"
Bulk 3,"(0.06804033698186089, 0.2271166386684998)","(0.17878142993276153, 0.3179581141882338)","(0.06258781704972685, 0.16356369714926963)","(0.21910863466625918, 0.33175272439964953)","(0.14505609083918772, 0.2860345161245511)"
Bulk 4,"(0.19326396643015764, 0.3482114716357654)","(0.04534113021471914, 0.15472539116440726)","(0.1347672708620185, 0.27874252712776487)","(0.2327341116425438, 0.34666926437746826)","(0.08419474592364104, 0.18135012062151404)"
Bulk 5,"(0.0, 0.0008631237094038049)","(0.21154662789772927, 0.34229938861190745)","(0.011467586767688893, 0.12986074376035658)","(0.26973379449737755, 0.3724249574888874)","(0.25745661944352005, 0.4052102815325329)"
Bulk 6,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 7,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 8,"(0.2393143054355803, 0.38181302318291277)","(0.029785736776049045, 0.1207820390949795)","(0.11008856048872259, 0.24356418750765615)","(0.27292056888465793, 0.3809994710320211)","(0.07185458846878219, 0.14887751912863856)"
Bulk 9,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 10,"(0.036966172484803696, 0.1465954091783441)","(0.18922785984307466, 0.31202383086100904)","(0.0, 0.015326045410513339)","(0.2999200809059941, 0.4028017986916622)","(0.2289328473847011, 0.37136230822431904)"
Bulk 11,"(0.16322808796414595, 0.32845801777056427)","(0.11845562995999012, 0.24955908165321147)","(0.0891373075401779, 0.21039120772294495)","(0.19025815562523812, 0.3092743715334828)","(0.11244566524770383, 0.22879247498254074)"
Bulk 12,"(0.34564939927525284, 0.478052039764579)","(0.033364437451909985, 0.12138464248276395)","(0.014786906797899561, 0.059378264836243026)","(0.1974167012453502, 0.31084210370068593)","(0.15472349948115124, 0.2844020049641641)"
Bulk 13,"(0.1435021288285258, 0.2731681667763762)","(0.024232792739733146, 0.10565961220351452)","(0.01809221679754655, 0.06672835135663635)","(0.4163518601693177, 0.507377589365803)","(0.15948511916268734, 0.2854021625998595)"
Bulk 14,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 15,"(0.09939974710296104, 0.2708517975129009)","(0.1464566064674809, 0.2854711386795623)","(0.02847287603010213, 0.10173381756193187)","(0.20084968470253656, 0.3134956287815018)","(0.2075560715434674, 0.3457126316175551)"
Bulk 16,"(0.19546780257669277, 0.34199534644055113)","(0.09870672278051304, 0.20266526744538196)","(0.0, 0.007029395416462268)","(0.3138929656487484, 0.41511068053714256)","(0.14215443556955287, 0.28330108535982756)"
Bulk 17,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 18,"(0.246156007921354, 0.4015128927683845)","(0.0703233470697716, 0.18428368167220444)","(0.08105096649644339, 0.198265260987249)","(0.14339319072373102, 0.26739646614855206)","(0.14100736237044775, 0.2666108238418623)"
Bulk 19,"(0.033393342656914, 0.16540959170989206)","(0.1422195287311174, 0.271318805965687)","(0.04423932298854412, 0.1281000800840409)","(0.35000075440469036, 0.4566725930175414)","(0.1272930942924515, 0.2813528861491213)"
Bulk 20,"(0.22970438973174107, 0.38434240170683204)","(0.08689100746474498, 0.204686219754253)","(0.06176538963957998, 0.1628527093701409)","(0.19173641890088886, 0.30969583977315596)","(0.125928477281728, 0.24239714637693505)"
Bulk 21,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 22,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 23,"(0.035605697011546845, 0.1593707906581888)","(0.12468602528701082, 0.2508074580157807)","(0.004555789449700254, 0.05341090385441367)","(0.30611509625874117, 0.4086544865788641)","(0.2614334476974341, 0.3953603051883195)"
Bulk 24,"(0.11814779632729593, 0.28512709737905756)","(0.15473085817454832, 0.2941427694948672)","(0.06647900541442692, 0.16962323394312623)","(0.23548111123724286, 0.3485499516734423)","(0.10042075260624589, 0.22729742374974665)"
Bulk 25,"(0.43395482346889713, 0.5274706611031069)","(0.0006597731034714605, 0.002396036564292002)","(0.00240464508945748, 0.014753719021198236)","(0.38235860030871993, 0.47751203201870174)","(0.0380410662974315, 0.12044864302472344)"
Bulk 26,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 27,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 28,"(0.27401864038253637, 0.4087766109352146)","(0.019976564023402532, 0.09567836995037339)","(0.026530626028086902, 0.08350773884046583)","(0.2740643505642859, 0.38357701079328943)","(0.15435013324487964, 0.27951995523746553)"
