,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.0, 0.08209732865790162)","(0.22121964223893625, 0.35775101283883487)","(0.051054757127260326, 0.14240394034273973)","(0.226179310924979, 0.3385088613807222)","(0.21528538195051627, 0.36936016588402787)"
Bulk 1,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 2,"(0.03806969004393432, 0.160815764013001)","(0.0878256281295314, 0.20302087173714464)","(0.03501273424003981, 0.10960127369865544)","(0.3774084056858583, 0.4766273250195663)","(0.18618630313700113, 0.32543200429526775)"
Bulk 3,"(0.16072874246404634, 0.3110278949549078)","(0.07306960580396742, 0.18701146982116484)","(0.22234510780762595, 0.3687837774725633)","(0.16404946730000577, 0.28264721247633473)","(0.0746711570346786, 0.15566556486470534)"
Bulk 4,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 5,"(0.16058371178648734, 0.3291467591549243)","(0.13673607567121035, 0.27154809351845277)","(0.03960347300049827, 0.12142179659866995)","(0.19104021508433267, 0.3077193427782019)","(0.15277668860370033, 0.2894238438035218)"
Bulk 6,"(0.293740347479315, 0.4473649581309148)","(0.11042116791095509, 0.234777430550701)","(0.033483092904437295, 0.10464972410165377)","(0.10125614933401544, 0.2236956393375965)","(0.1569249006668526, 0.2936865895835584)"
Bulk 7,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 8,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 9,"(0.3116148383712283, 0.4566394297013915)","(0.13951621892125815, 0.2562190880473208)","(0.07776082875045275, 0.1626701561560594)","(0.009159526031279203, 0.05545419862712382)","(0.2011212486912789, 0.32984446670260725)"
Bulk 10,"(0.06834843834667598, 0.2251595284605929)","(0.17407809038694727, 0.3108434728857366)","(0.028317181053996415, 0.1026414531537341)","(0.2442349846453703, 0.35416504327111675)","(0.17281700647337903, 0.31939480132245057)"
Bulk 11,"(0.26429000468027175, 0.3989520168296248)","(0.03725855161556274, 0.12808019344752739)","(0.008423907820942642, 0.045564982599769994)","(0.3211660397182794, 0.42410654303946427)","(0.1234893324754098, 0.24866842777314704)"
Bulk 12,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 13,"(0.0340461444995995, 0.16386850831063357)","(0.15279815153504683, 0.28338003744996354)","(0.020150006452673133, 0.08758122229442346)","(0.27748425070754607, 0.38398270183781097)","(0.228431220446294, 0.36827775646600863)"
Bulk 14,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 15,"(0.29239509754827586, 0.431217178350089)","(0.12643388298382519, 0.2503095837156464)","(0.016088746790290116, 0.06707342300728816)","(0.2514448074049617, 0.36011954632816384)","(0.05271154857256336, 0.15220618529889657)"
Bulk 16,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 17,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 18,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
