,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 1,"(0.13441657805870966, 0.30257952087705997)","(0.13654549517973807, 0.2708336092283098)","(0.007775144147590476, 0.057314891245474606)","(0.2299064272764522, 0.339085846590398)","(0.18801853334648694, 0.33352395404978036)"
Bulk 2,"(0.013068044005394248, 0.12053002275370353)","(0.16530457610003177, 0.2993713068134577)","(0.020170025370838313, 0.08826413435280987)","(0.28869766048364, 0.3990279702072851)","(0.23049905758644673, 0.3750672023263928)"
Bulk 3,"(0.0004843638534836, 0.007611231635089049)","(0.2000613369334923, 0.3166189378375107)","(0.0862100918472629, 0.24338881805625767)","(0.18123761476598083, 0.3113058136979848)","(0.2570118540830353, 0.3960699372899029)"
Bulk 4,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 5,"(0.017226099705389943, 0.09590176334145115)","(0.03979761896639831, 0.11687429774573316)","(0.06440896827585034, 0.15429244303043188)","(0.6046365429318179, 0.6726922853968327)","(0.059703616155083676, 0.17446636445101094)"
Bulk 6,"(0.23059371664365524, 0.38178521845740876)","(0.07663336478411614, 0.19632517640641867)","(0.10654962071794208, 0.24250400945930525)","(0.24901181094055744, 0.3597442146953892)","(0.05346188563081791, 0.10339098226438936)"
Bulk 7,"(0.39417540856807687, 0.522665240912282)","(0.08862779145039851, 0.19741607215025397)","(0.0, 0.026983008926353903)","(0.14312755789903642, 0.2530074290181181)","(0.12150018330029394, 0.25329034636131265)"
Bulk 8,"(0.03262482728397169, 0.18026753818574848)","(0.17213344764802302, 0.30939429326050055)","(0.06028526595635461, 0.16502848176433982)","(0.2021743712673159, 0.3151899403070992)","(0.21284415616502056, 0.3500576781616261)"
Bulk 9,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 10,"(0.06594202679017938, 0.1897733266028047)","(0.0561192495631459, 0.15493844225192618)","(0.0471013168280532, 0.12967394025082712)","(0.5074986448306987, 0.5828448354005585)","(0.07771028285856854, 0.1883979346232376)"
Bulk 11,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 12,"(0.18447584840214393, 0.3347031448142995)","(0.03971822491610605, 0.1413333951008847)","(0.066594359487178, 0.16589738485517508)","(0.28250447993124805, 0.3902774483235576)","(0.13711811492636744, 0.25737759924303966)"
Bulk 13,"(0.0, 0.0009354818473135685)","(0.20645932923921906, 0.3390057099977448)","(0.0010796655896623888, 0.09830225111065397)","(0.25982778766324977, 0.3514030745205632)","(0.30478437029074307, 0.43913781158816384)"
Bulk 14,"(0.5042525949853464, 0.6093888016521268)","(0.037289374300717514, 0.1174641618496694)","(0.08556531938552082, 0.19889374404971655)","(0.02173842910537393, 0.09245204025581091)","(0.10627023844330699, 0.22668529597241074)"
Bulk 15,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 16,"(0.09611494152214073, 0.25113807841805186)","(0.14786291701911408, 0.2810073577844364)","(0.016111132482058317, 0.07593186516062267)","(0.31223915621618836, 0.41744089359533243)","(0.12631431119495556, 0.27583934660709963)"
Bulk 17,"(0.37767893623152476, 0.5056344881087242)","(0.09627892603452354, 0.21470042103793208)","(0.02610477977254271, 0.08495678282263414)","(0.1656207158481366, 0.2813229591855334)","(0.07210517821893267, 0.17559681273951608)"
Bulk 18,"(0.0306493580493242, 0.17411040645239154)","(0.10824915795240102, 0.23750421267982824)","(0.04975735612377081, 0.13994678193669477)","(0.3054892521119645, 0.41296365107946104)","(0.19931905537934813, 0.3420107682348157)"
Bulk 19,"(0.06869692233403815, 0.23122668178208075)","(0.18067181321524012, 0.3201303025524385)","(0.03396267699696497, 0.11888823997478534)","(0.20603184722211135, 0.3181360049330843)","(0.1909471049614263, 0.33130840602783007)"
Bulk 20,"(0.0, 0.0005603258058605468)","(0.1259421244415679, 0.2148552215325961)","(0.08122493400222619, 0.20317083287947557)","(0.45988726906840727, 0.582384530280802)","(0.09179251322673028, 0.24074257456819464)"
Bulk 21,"(0.008583997896896428, 0.12363225079540069)","(0.19628490073739668, 0.3288318816464699)","(0.06328227650082519, 0.16144356414914862)","(0.2719957454513253, 0.38741253587744584)","(0.14653539479923178, 0.31199745214585967)"
Bulk 22,"(0.0, 0.0007422703403426742)","(0.17028693319521238, 0.2850893512468782)","(0.03247853501402486, 0.14687232006944698)","(0.3581124711227719, 0.46992513793240187)","(0.1930461051509852, 0.3441891462682788)"
Bulk 23,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 24,"(0.04941957138250132, 0.20009297184585523)","(0.14948183194074438, 0.28410199837465505)","(0.038221587853690155, 0.12016716717619835)","(0.25904417845314753, 0.368808096880214)","(0.1932229242232696, 0.3374396718697241)"
Bulk 25,"(0.06180527740801782, 0.17332340373840127)","(0.08559482718116215, 0.18456135322856645)","(0.0, 0.012499657176482933)","(0.4280189614651153, 0.5176337443987775)","(0.20209856477024724, 0.3355379026782399)"
Bulk 26,"(0.24150686640008262, 0.3776540512143302)","(0.03375168209468127, 0.12769933723573873)","(0.028609185236179585, 0.08905900470050518)","(0.33442364741334063, 0.436137729006429)","(0.10733991810203916, 0.2238185785966734)"
Bulk 27,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 28,"(0.03231823145793887, 0.16072130456666023)","(0.14729743145022417, 0.27806383461314654)","(0.02588876111462595, 0.09678272657439699)","(0.26731176534887097, 0.37403824606703356)","(0.2405738435871186, 0.37700385521998414)"
Bulk 29,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 30,"(0.4070510825099166, 0.5269823199438267)","(0.031509306745696686, 0.11902745115160715)","(0.09704752318962025, 0.23014161709207792)","(0.1166811581519755, 0.23448728238684824)","(0.07321750433794746, 0.1638547544904834)"
Bulk 31,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 32,"(0.26903116645318853, 0.40735520865244385)","(0.02337900015276443, 0.089063216990871)","(0.07732206106360304, 0.20022477768823674)","(0.08204789228642753, 0.19793576570447965)","(0.26498139413865046, 0.3886595168693348)"
Bulk 33,"(0.0, 0.0008474360616270054)","(0.18725389271533988, 0.3201303233268755)","(0.005926667555688478, 0.10183553950700083)","(0.35755148939890924, 0.4497747594670599)","(0.21119401472554458, 0.36633331330358165)"
