,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 1,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 2,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 3,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 4,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 5,"(0.0, 8.909794703743101e-05)","(0.02298901017545025, 0.03837331529263665)","(0.04318663484508041, 0.07008863729202275)","(0.0, 3.823599310868266e-05)","(0.9024309402230863, 0.9229314621717235)"
Bulk 6,"(0.0, 0.000155088304704088)","(0.015633354725261964, 0.06279313164696575)","(0.03585707773304281, 0.08729155726593993)","(0.04240053833470557, 0.09665967224808784)","(0.8147863855413182, 0.8445782825046779)"
Bulk 7,"(0.0, 0.00015154951789239277)","(0.04040269487361485, 0.061886472178484475)","(0.03427847730225806, 0.0639991932747933)","(0.0, 3.8074073021797297e-05)","(0.8877007533586402, 0.9117324090122093)"
Bulk 8,"(0.0, 0.0004892128483042008)","(0.8457010703583854, 0.8971503415776003)","(0.0, 3.828166186592746e-05)","(0.07974921418897397, 0.14161420730976648)","(0.009486393513277267, 0.026298773051996797)"
Bulk 9,"(0.0, 0.0004357060486345466)","(0.8416602903152186, 0.8843830332159939)","(0.0, 1.7604634630426565e-05)","(0.040862183452700145, 0.11234555836557569)","(0.03454788551256648, 0.08620104913794505)"
Bulk 10,"(0.0, 0.0005016244319195471)","(0.791605232124932, 0.8355037799628126)","(0.0, 1.7368348073398294e-05)","(0.03944764427469227, 0.13080805756062458)","(0.05765264692595883, 0.1449826391509798)"
Bulk 11,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 12,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 13,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 14,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 15,"(0.0, 0.0003156586505339602)","(0.0674608090656484, 0.16322602890212945)","(0.024353023190012202, 0.10693851916435099)","(0.4043932487191048, 0.5045600078744997)","(0.30141671237916895, 0.42765165070508543)"
Bulk 16,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 17,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 18,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 19,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 20,"(0.0, 0.00033333276340808305)","(0.3949879417909812, 0.49835915635583705)","(0.12191213375160573, 0.2641049709930584)","(0.28140106236464996, 0.4392347347438679)","(0.0, 0.0007561772772276814)"
Bulk 21,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 22,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 23,"(0.0, 0.0002768942864846872)","(0.05580313023755151, 0.14188018513667863)","(0.012108261240894643, 0.07157073762131905)","(0.5935524270151881, 0.6735626612475217)","(0.16245399928290832, 0.2890685982179378)"
Bulk 24,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 25,"(0.0, 2.5258429953654173e-05)","(0.46422267818040447, 0.4906347168803647)","(0.509518192795999, 0.5356244121432318)","(0.0, 5.085133938002144e-09)","(0.0, 1.5850575484959297e-05)"
Bulk 26,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 27,"(0.0, 0.00014019601989049462)","(0.14355887682331844, 0.2298944960467824)","(0.08819667757138752, 0.20045444859924408)","(0.6180482687900635, 0.7180612402519371)","(0.0, 0.002424110178132684)"
Bulk 28,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 29,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 30,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 31,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 32,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 33,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 34,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 35,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 36,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 37,"(0.0, 0.0002953098809567599)","(0.08519500120979333, 0.1657455805913371)","(0.031801288512786664, 0.1226090666945838)","(0.39290456260744955, 0.4964902303678379)","(0.29508979654999035, 0.4101644734662212)"
Bulk 38,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 39,"(0.06215734435551875, 0.13986389826085074)","(0.15634297815078996, 0.24010300358479342)","(0.024880776306862112, 0.09152638639541237)","(0.0, 0.00018411497413991235)","(0.6098670203104016, 0.675258592635371)"
Bulk 40,"(0.4378795858609801, 0.5419977929067544)","(0.14827163994117157, 0.2562447554682451)","(0.14479552046592664, 0.29801048204138464)","(0.015192638842792955, 0.15760758447274462)","(0.0, 0.00019953578039246883)"
Bulk 41,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 42,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 43,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 44,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 45,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 46,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 47,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 48,"(0.0, 0.00040623460921480154)","(0.13422256221909157, 0.25996928137808906)","(0.007109606149032104, 0.0781017277479536)","(0.4200841686169364, 0.5114520342136809)","(0.21982208240693046, 0.3692385372682859)"
Bulk 49,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 50,"(0.0, 0.00036402559179919415)","(0.12183737656372111, 0.25133453801740085)","(0.14514543659096002, 0.283631763597898)","(0.2524751907282916, 0.3648369483992795)","(0.21369715328511996, 0.36704159281732895)"
Bulk 51,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 52,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 53,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 54,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 55,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 56,"(0.003958721581854341, 0.0494854827284672)","(0.20346544403417166, 0.3202704382629724)","(0.054717794743060925, 0.15905792881868303)","(0.5208682055221048, 0.5963398532669584)","(0.008782626833840651, 0.08305350420788654)"
Bulk 57,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 58,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 59,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 60,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 61,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 62,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 63,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 64,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 65,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
