,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 1,"(0.01078252184811224, 0.06628119471784918)","(0.12372101385638357, 0.18630853801643932)","(0.7045196224718789, 0.7794004260589095)","(0.025145247933193456, 0.10384143509723401)","(0.0, 0.00013595734518297004)"
Bulk 2,"(0.0, 0.0005200812791437675)","(0.45767274483869785, 0.5451104665941002)","(0.06150153435276026, 0.15590747281723216)","(0.3212810122508133, 0.4585267691463961)","(0.0, 0.0007530578090928986)"
Bulk 3,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 4,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 5,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 6,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 7,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 8,"(0.0, 0.00022432780905412434)","(0.0410770327675021, 0.11103317610100269)","(0.2437478818813828, 0.35421118126113854)","(0.35704582194584367, 0.4605191623118121)","(0.13443023254649655, 0.29793551118482153)"
Bulk 9,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 10,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 11,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 12,"(0.029201038981013616, 0.06229903089826365)","(0.8998323966834552, 0.9250599055320321)","(0.0, 4.9221366552616936e-05)","(0.0, 6.539298161423477e-05)","(0.02974170428213386, 0.05386592362310157)"
Bulk 13,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 14,"(0.0, 0.0003779621101505847)","(0.1088120146719585, 0.23913060677914633)","(0.1409112619633345, 0.2725771337693914)","(0.15259421649880398, 0.24469598148010932)","(0.3669497064941743, 0.4743290783430814)"
Bulk 15,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 16,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 17,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 18,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 19,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 20,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 21,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 22,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 23,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 24,"(0.0, 7.900933801202534e-05)","(0.021876714609001147, 0.050960053015085896)","(0.04351598608946811, 0.09410603326360178)","(0.8358480435207176, 0.8692509055856248)","(0.01834775259186633, 0.06609451132463452)"
