,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.1263121683074792, 0.2257080643652174)","(0.40319116926590026, 0.5089077859106775)","(0.010746949422178256, 0.06732552604589365)","(0.0, 0.00025383701180168916)","(0.2703162917252337, 0.38749204495742)"
Bulk 1,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 2,"(0.0744413437695474, 0.21864945602448044)","(0.541209697162594, 0.6473388550847018)","(0.0, 1.9081284653897993e-05)","(0.0, 0.008691607136970484)","(0.20018005182357965, 0.30969537230371025)"
Bulk 3,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 4,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 5,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 6,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 7,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 8,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 9,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 10,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 11,"(0.0, 0.0002680343408600258)","(0.04873919100302161, 0.11913273159461864)","(0.0, 0.024033061835649128)","(0.49577525582774035, 0.5733731172927946)","(0.3149646758500059, 0.4267790646479171)"
Bulk 12,"(0.0, 0.000175032588929395)","(0.03638714192037699, 0.07708658173916069)","(0.0005352736386766686, 0.0061268354156586245)","(0.9219246427036286, 0.9579395245824983)","(0.0, 7.929115242800256e-05)"
Bulk 13,"(0.0, 0.0001703534912574762)","(0.02241858107625715, 0.0728527906890612)","(0.05515174850194611, 0.1345523425234295)","(0.6791245199468428, 0.7507952411271186)","(0.08734454835531463, 0.19776022778003005)"
Bulk 14,"(0.15643062048117215, 0.3143838847210668)","(0.3950602990564276, 0.5164381212053514)","(0.05723213208694762, 0.1691331442960779)","(0.11657022397290388, 0.2747515741800529)","(0.0, 0.0004509529409716565)"
Bulk 15,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 16,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 17,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 18,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 19,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 20,"(0.0, 0.000297520386151299)","(0.08195709654528378, 0.16260038660138887)","(0.0329803118174357, 0.12915209098538422)","(0.3447662921168124, 0.45108461978098824)","(0.3454076736881704, 0.45205152846453633)"
Bulk 21,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 22,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 23,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 24,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 25,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 26,"(0.0, 7.343985023966764e-05)","(0.0539936927571784, 0.09660374093499068)","(0.061394036412743956, 0.1181313131342529)","(0.8058341992710834, 0.8447244591393948)","(0.0, 0.020190040637107193)"
Bulk 27,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 28,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 29,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 30,"(0.0, 0.0006332269528407549)","(0.507626859459112, 0.6009507616622172)","(0.014702067072936774, 0.1001884527599334)","(0.02592140034655148, 0.0721104655157308)","(0.27766287556087504, 0.40083711762264346)"
Bulk 31,"(0.0, 9.547917990693985e-05)","(0.06562056559586932, 0.12161154731494964)","(0.13541281283466688, 0.22027771059207268)","(0.6863330139221643, 0.7456364272854444)","(0.0, 0.026566281156362184)"
Bulk 32,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 33,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 34,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 35,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 36,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 37,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
