,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 1,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 2,"(0.0, 0.00011480089061839911)","(0.07410313966710513, 0.12718666697102743)","(0.02195552106237947, 0.07659172148184568)","(0.7957703689365935, 0.8335345931253432)","(0.010448020470185532, 0.06040996828551973)"
Bulk 3,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 4,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 5,"(0.0, 0.0005687765313148631)","(0.69043848906788, 0.7754261215431387)","(0.0, 0.024876277336959633)","(0.06170406519348147, 0.11919718153296142)","(0.10697183405393217, 0.22708929410108059)"
Bulk 6,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 7,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 8,"(0.0, 0.0001725457598927999)","(0.06724054175423452, 0.13663400475715284)","(0.1308579341925712, 0.23033094556184902)","(0.5963531106937403, 0.6683075472693016)","(0.0329210873948239, 0.13735482837632668)"
Bulk 9,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 10,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 11,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 12,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 13,"(0.0, 0.0002004718628204657)","(0.04877580449266589, 0.11491219918954698)","(0.06821404070340928, 0.14833465920168967)","(0.6349937020461128, 0.7031819392972537)","(0.08272851606739975, 0.19885913900192156)"
Bulk 14,"(0.0037894181579312264, 0.025096562341562077)","(0.7398956454116602, 0.7967054099744267)","(0.0, 0.010772581124354863)","(0.17455874180991, 0.24267957234307702)","(0.0, 0.007629418833573241)"
Bulk 15,"(0.04579248763963922, 0.1398668737158482)","(0.655830120472431, 0.7388429110268688)","(0.14294641220386461, 0.2767211949413479)","(0.0, 0.00015294459603014412)","(0.0, 0.00011947476740990623)"
Bulk 16,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 17,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 18,"(0.0, 0.0005064540636174163)","(0.34953095651578636, 0.44972214045870407)","(0.005988804493216052, 0.0766488491921474)","(0.019761871464584725, 0.0567515776549948)","(0.4750588115063358, 0.5665369887142305)"
Bulk 19,"(0.028523395370607177, 0.10903089249446772)","(0.08438471857352706, 0.14215815881630492)","(0.6791638456491833, 0.7774922639492585)","(0.0, 0.00013402328774923204)","(0.029524882536889105, 0.1497218426097624)"
Bulk 20,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 21,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 22,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 23,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 24,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 25,"(0.0, 0.00020480136499848806)","(0.16613899982440777, 0.27541863668818667)","(0.14125587584267596, 0.27141881125915107)","(0.4994603151721205, 0.5694992236548546)","(0.0012337287018678936, 0.07557440885673575)"
Bulk 26,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 27,"(0.0, 0.0006533588578303159)","(0.738450988881378, 0.8047095575598142)","(0.0, 1.788154661428395e-05)","(0.08548030687503014, 0.19394494529880288)","(0.05063124275660685, 0.126782958628368)"
Bulk 28,"(0.0, 7.552348435662504e-05)","(0.005095309590298655, 0.024632341499958167)","(0.010299582540323062, 0.03761462718162066)","(0.8687351760190442, 0.9025752997094981)","(0.04943746668514902, 0.10161019677410811)"
Bulk 29,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 30,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 31,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 32,"(0.0, 0.00047010869326534287)","(0.42106443214812134, 0.5199528654159336)","(0.04788264984954459, 0.1615483214396108)","(0.2553309668657379, 0.3664277330363644)","(0.039103032554051814, 0.18868999869063593)"
Bulk 33,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 34,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 35,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 36,"(0.3241253053833157, 0.5701999250574175)","(0.36371743472216234, 0.5052898860335668)","(0.05389816906383568, 0.18186943437728453)","(0.0, 0.00022533947636845008)","(0.0, 0.0010515725716844068)"
Bulk 37,"(0.0, 9.243538411266898e-05)","(0.08263610948085891, 0.13533072211564806)","(0.10449575532083837, 0.22081375854519197)","(0.6872271161590814, 0.7694965383783815)","(0.0, 0.00020232717002748523)"
Bulk 38,"(0.12296933984497628, 0.287952945462911)","(0.00607967785117523, 0.017947383917097874)","(0.08234975497075323, 0.18954438582853925)","(0.37854823902601914, 0.4707367310085307)","(0.13433448620441327, 0.3095370558855841)"
Bulk 39,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 40,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 41,"(0.0, 0.22891972503141506)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 0.007672885894131705)","(0.0, 0.4162253632086273)"
Bulk 42,"(0.0, 0.00017734844000459677)","(0.18861028797667925, 0.2950862333291484)","(0.053444655369281655, 0.14745013467270524)","(0.6032215189359075, 0.6818010702764267)","(0.0, 0.0340298772989597)"
Bulk 43,"(0.0, 8.967895020745421e-05)","(0.02313277941470722, 0.03919220670972292)","(0.05280148649405651, 0.0848409639356623)","(0.0, 4.390359814796234e-05)","(0.887462475915033, 0.9125700875308181)"
Bulk 44,"(0.0, 0.0004220972527560789)","(0.847655220500445, 0.8870985063462903)","(0.0, 1.1915008287099573e-05)","(0.04867213709571895, 0.11155653519288995)","(0.03089671055406967, 0.07412089031058648)"
Bulk 45,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 46,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 47,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 48,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 49,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 50,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 51,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 52,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 53,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 54,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 55,"(0.0, 0.00013743872274415444)","(0.04200575617428222, 0.08928535629557634)","(0.00640953702127408, 0.041156121038384015)","(0.8222092308357849, 0.8571551608597698)","(0.041068272419125654, 0.10071056535580282)"
Bulk 56,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 57,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 58,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 59,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 60,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 61,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 62,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 63,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 64,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
