,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.01638653702452337, 0.09350177946727181)","(0.012759402490175889, 0.10235851623615577)","(0.09840341054574567, 0.199065942798027)","(0.3660741105357143, 0.48730860068938747)","(0.21778211474515913, 0.40635958546783985)"
Bulk 1,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 2,"(0.1769318691239067, 0.293018449553081)","(0.6854707491203339, 0.7614312055704845)","(0.01630262345486353, 0.06684510317733067)","(0.0, 0.00024359123038926843)","(0.0, 9.699352598506212e-05)"
Bulk 3,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 4,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 5,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 6,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 7,"(0.0, 0.0002770074793313137)","(0.3204886262764361, 0.40826099214225414)","(0.5553694899172412, 0.6383356827524347)","(0.02043619560423215, 0.05710901330740145)","(0.0, 0.00014351446823145615)"
Bulk 8,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 9,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 10,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 11,"(0.0, 0.0007833885208024962)","(0.36646615950463923, 0.47762790595725024)","(0.0, 0.03910100931062878)","(0.17190705058570468, 0.25736228337861666)","(0.27432028899365146, 0.4218294415410997)"
Bulk 12,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 13,"(0.0, 0.2017236399771945)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 0.006486284622459174)","(0.0, 0.3571947245225485)"
Bulk 14,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 15,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 16,"(0.03563568280072525, 0.18244219665660028)","(0.19358246430976758, 0.33229637632148556)","(0.1411324450294063, 0.27864566622757164)","(0.0751504863372996, 0.16455144979135164)","(0.2222128674898533, 0.37435036503593916)"
Bulk 17,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 18,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 19,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 20,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 21,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 22,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 23,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 24,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 25,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 26,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 27,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 28,"(0.08795077707615534, 0.2150957742522301)","(0.24987227089757458, 0.36510492595171096)","(0.06632286269842294, 0.17648676486363624)","(0.3763221531056483, 0.4628444711546218)","(0.0, 0.0004272728598191676)"
Bulk 29,"(0.0, 0.00016943274368634624)","(0.11742320325105876, 0.19475418508222947)","(0.04682665938297646, 0.11781623539855336)","(0.6952960337117198, 0.7418159305319831)","(0.010372272566378939, 0.07569548007510005)"
Bulk 30,"(0.06079077582623063, 0.15856637363866477)","(0.1778102580950553, 0.2761252243722832)","(0.056002650670938604, 0.1461655832513963)","(0.5319901639578317, 0.5925489701875994)","(0.0, 0.00037181299087242763)"
Bulk 31,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 32,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 33,"(0.0, 0.0001431863925579289)","(0.14424791827465158, 0.20956276322570708)","(0.22928007040399714, 0.3634746123081837)","(0.4752758558745897, 0.5781587799128707)","(0.0, 0.00025707311308733526)"
Bulk 34,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 35,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 36,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 37,"(0.0, 0.0007992838943341869)","(0.4980705302252089, 0.5880132672565707)","(0.0, 2.4384295911659226e-05)","(0.10091063993442201, 0.28534144768657466)","(0.16135524035957388, 0.36630887453764965)"
Bulk 38,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 39,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 40,"(0.10109591122090743, 0.25484913523891406)","(0.012493981317278066, 0.07850230755100658)","(0.08790839116590951, 0.19425541322590503)","(0.39355940851856375, 0.49547884195010794)","(0.10347234423673346, 0.2783842655746741)"
Bulk 41,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 42,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 43,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 44,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 45,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
