,Ast,End,Mic,Neu,Oli
Bulk 0,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 1,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 2,"(0.0, 0.0006535868201509536)","(0.6067449660332346, 0.6716711978065179)","(0.009432553858658273, 0.07411647374690739)","(0.21205558188115947, 0.30453391019257914)","(0.01675147524527356, 0.10469384123566963)"
Bulk 3,"(0.0, 0.000259455623678746)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 7.600314680321654e-05)","(0.0, 0.002816546019280143)"
Bulk 4,"(0.0, 0.00015478786169201582)","(0.033270914842198455, 0.0778246399083069)","(0.50522026568947, 0.5891970695792283)","(0.024442171187459096, 0.054596845040144996)","(0.3149756342936558, 0.40047245945953636)"
Bulk 5,"(0.0, 2.4156806836783336e-05)","(0.6020544471343977, 0.6047908252612216)","(0.39521431340420626, 0.3979404142001746)","(0.0, 4.65865837842528e-09)","(0.0, 1.5876628031922866e-05)"
Bulk 6,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 7,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 8,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 9,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 10,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 11,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 12,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 13,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 14,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 15,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 16,"(0.2087878239484539, 0.3393763470064121)","(0.15898806180458536, 0.26358279248921845)","(0.18448161873937508, 0.36341051309923655)","(0.0, 0.0002820442538522924)","(0.1496671469297149, 0.33170569598300365)"
Bulk 17,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 18,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 19,"(0.0, 9.778555434644215e-05)","(0.07369875893501847, 0.11310270822986478)","(0.022830736665248343, 0.06410888040932686)","(0.8470264825246774, 0.8792324332358643)","(0.0, 0.00022578468242708563)"
Bulk 20,"(0.0, 7.407835881996077e-05)","(0.07268750043931707, 0.11397067166526728)","(0.048205352755986274, 0.10276712980585143)","(0.8146015459664174, 0.8477677993671605)","(0.0, 0.00018518535699745233)"
Bulk 21,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 22,"(0.0, 0.0003473840024724603)","(0.08192881581193195, 0.192335895323472)","(0.023594603355656753, 0.11065210209282642)","(0.18503197314736694, 0.2851533630969621)","(0.5227280174118618, 0.5985752297599221)"
Bulk 23,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 24,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 25,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 26,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 27,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 28,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 29,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 30,"(0.0, 0.0007999660646040203)","(0.8020497479044489, 0.8532967789605269)","(0.02441712523153826, 0.06759600865127194)","(0.08487158076942422, 0.16776875848278974)","(0.0, 0.0003570270182180834)"
Bulk 31,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 32,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 33,"(0.0, 0.00021900573193345436)","(0.2713591663966435, 0.35730781890490926)","(0.5500097767467244, 0.6419623537285212)","(0.05263761736222922, 0.12672326686097254)","(0.0, 0.0001937046874684297)"
Bulk 34,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 35,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 36,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 37,"(0.18786876414432455, 0.3300769997848494)","(0.20874827370051732, 0.31873062955897846)","(0.032811709848572894, 0.11581210659720029)","(0.3578709898333602, 0.4480805265321972)","(0.0, 0.00032410384676430636)"
Bulk 38,"(0.0, 0.0003193207835659186)","(0.257608378772611, 0.38629673724594493)","(0.0017446058687077895, 0.04472290237010555)","(0.5996822479916062, 0.7029704415613058)","(0.0, 0.008597966623327501)"
Bulk 39,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 40,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 41,"(0.0574114029338612, 0.1851908036999143)","(0.2918935992392592, 0.4242157825518447)","(0.007768810213166312, 0.05051259115060156)","(0.39912737325404346, 0.47820358938924)","(0.006224167923088705, 0.09945187964498037)"
Bulk 42,"(0.011408153130086734, 0.05903493569588203)","(0.010111609243388428, 0.09337016744172097)","(0.04974769674475731, 0.13914344536284196)","(0.41967724676348245, 0.5350360630536837)","(0.2557262634700869, 0.4267444190940695)"
Bulk 43,"(0.0, 0.00033538933335640163)","(0.2637517982731292, 0.3651682754732567)","(0.013117091674474085, 0.07868024596185479)","(0.5303436068127005, 0.6007098971238434)","(0.02633664815384258, 0.12189243652689845)"
Bulk 44,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 45,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 46,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 47,"(0.0, 0.0004025211348375985)","(0.18995695519240216, 0.282499602664425)","(0.021580880081809015, 0.06887571575578329)","(0.6810981333933163, 0.7559887129122643)","(0.0, 0.0004859686491810217)"
Bulk 48,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 49,"(0.0, 0.00023254280685676784)","(0.04173560030978445, 0.10873157496471131)","(0.00047186912922905604, 0.025855141318742163)","(0.7044055354879383, 0.7674044370709584)","(0.124663625110254, 0.22673221660838253)"
Bulk 50,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 51,"(0.07359502946446131, 0.19237701979630542)","(0.7269430410236694, 0.7843921321191903)","(0.05898280645335518, 0.16370997114301852)","(0.0, 0.00017307417797560534)","(0.0, 0.00013086893225572785)"
Bulk 52,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 53,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 54,"(0.0, 0.00014918641880102768)","(0.041172554667169514, 0.09333580156309906)","(0.078672939572401, 0.16606210521012071)","(0.6859531522161362, 0.7494905116941468)","(0.04744222198205251, 0.13787071309487428)"
Bulk 55,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 56,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 57,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 58,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 59,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 60,"(0.012984485891247663, 0.07917750315684602)","(0.49999014795492813, 0.5864232433140447)","(0.05822866655804906, 0.14920922512933765)","(0.25770363642859706, 0.3562830915669497)","(0.0, 0.0008186201781098563)"
Bulk 61,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 62,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
Bulk 63,"(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)","(0.0, 1.0)"
