,Ast,End,Mic,Neu,Oli
Bulk 0,0.006426799414870197,0.08036263881210523,0.05154389542855919,0.0,0.8616666663444654
Bulk 1,0.0,0.26990311351183166,0.0,0.6274119104833146,0.10268497600485368
Bulk 2,0.0,0.08463326255503391,0.0,0.0,0.9153667374449661
Bulk 3,0.2924017030882017,0.0,0.015472198393835124,0.6149362347625607,0.07718986375540268
Bulk 4,0.0936695497853722,0.14505072879514797,0.02630524484167222,0.40856164130416783,0.32641283527363973
Bulk 5,0.8010947847727973,0.0,0.0,0.19890521522720284,0.0
Bulk 6,0.0,0.017827299242363717,0.017700037635160468,0.9644726631224759,0.0
Bulk 7,0.0,0.7807202746922703,0.13183904149464581,0.0,0.08744068381308404
Bulk 8,0.0,0.09710713265304083,0.9028928673469592,0.0,0.0
Bulk 9,0.88683880795523,0.0,0.0,0.11316119204477001,0.0
Bulk 10,0.0,0.0,0.0,0.15312887223921948,0.8468711277607806
Bulk 11,0.014612619813517474,0.32154190571554725,0.0,0.21173349594904053,0.45211197852189466
Bulk 12,0.0,0.014849566494339,0.0,0.11792753740753305,0.867222896098128
Bulk 13,0.0,0.6483651842587745,0.0,0.244095412150118,0.10753940359110747
Bulk 14,0.32684840758735334,0.1951980563618038,0.0,0.0,0.47795353605084284
Bulk 15,0.36878977048516015,0.07631790058858913,0.0,0.318405052198988,0.23648727672726266
Bulk 16,0.346188507044924,0.0,0.014205859677225686,0.515598471832864,0.12400716144498633
Bulk 17,0.0,0.08185963269204298,0.133303206404251,0.7055316949787404,0.07930546592496565
Bulk 18,0.24331688934025839,0.0,0.0,0.0,0.7566831106597416
Bulk 19,0.1646135471393667,0.48422832336426824,0.0,0.0,0.3511581294963651
Bulk 20,0.0,0.04775604813110979,0.0,0.5368271552349217,0.4154167966339684
Bulk 21,1.0,0.0,0.0,0.0,0.0
Bulk 22,0.05660892369538735,0.10659504271382823,0.0784765154038013,0.4172536220245393,0.3410658961624439
Bulk 23,0.7982876006664945,0.0,0.17359096276830982,0.0,0.028121436565195567
Bulk 24,0.3974839589065795,0.41125493311615147,0.0,0.0,0.19126110797726897
Bulk 25,0.0,0.028477129121684996,0.15558694439032336,0.8159359264879917,0.0
Bulk 26,0.09900263019216896,0.2176554538244974,0.4268566391639661,0.0,0.2564852768193674
Bulk 27,0.0,0.7032758959943436,0.208674317207419,0.08804978679823731,0.0
Bulk 28,0.0,0.11560680804411724,0.21048293414706207,0.5872735180391846,0.08663673976963608
Bulk 29,0.8868717260222597,0.11312827397774024,0.0,0.0,0.0
Bulk 30,0.0,0.0,0.08459952148863376,0.9154004785113663,0.0
Bulk 31,0.5037821870330343,0.2741080630656926,0.2010018213085688,0.021107928592704328,0.0
Bulk 32,0.4319630235076511,0.0,0.07646655843050591,0.3973060122625642,0.09426440579927882
Bulk 33,0.09699103436158202,0.0,0.06537160813637034,0.8376373575020477,0.0
Bulk 34,0.09645653956325224,0.19527219344347443,0.5204963529997415,0.18777491399353174,0.0
Bulk 35,0.01523922441020718,0.6319180926671596,0.09589344224150585,0.16740125237629497,0.0895479883048325
Bulk 36,0.0,0.12463013568593083,0.0,0.0,0.8753698643140693
Bulk 37,0.0,0.03533043104330649,0.12835003991013574,0.44959870472033703,0.3867208243262208
Bulk 38,0.45212313799535775,0.3418183110798753,0.0,0.20605855092476688,0.0
Bulk 39,0.8605224648007748,0.0,0.13947753519922523,0.0,0.0
Bulk 40,0.14056557821837942,0.0,0.6683131373951057,0.19112128438651493,0.0
Bulk 41,0.0,0.01683398019482664,0.057313342007309635,0.8770970116852532,0.04875566611261049
Bulk 42,0.0,0.03628341641761768,0.0,0.7424923320503333,0.2212242515320492
